frame_id,dataset_id,split,meta_path,start_sample,sample_count,frame_number,annotation_count,labels_json
sigmf_5g_short_frame_000,sigmf_5g_short,train,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,69301,76800,0,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_001,sigmf_5g_short,train,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,146101,76800,1,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_002,sigmf_5g_short,train,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,222901,76800,2,4,"[""CSI-RS"", ""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_003,sigmf_5g_short,train,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,299700,76800,3,7,"[""CSI-RS (TRS)"", ""CSI-RS (TRS)"", ""CSI-RS (TRS)"", ""CSI-RS (TRS)"", ""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_004,sigmf_5g_short,train,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,376500,76800,4,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_005,sigmf_5g_short,train,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,453300,76800,5,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_006,sigmf_5g_short,train,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,530100,76800,6,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_007,sigmf_5g_short,train,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,606899,76800,7,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_008,sigmf_5g_short,val,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,683699,76800,8,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_009,sigmf_5g_short,val,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,760499,76800,9,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_010,sigmf_5g_short,val,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,837299,76800,10,10,"[""CSI-RS"", ""PBCH"", ""PDCCH"", ""PDCCH"", ""PDSCH"", ""PSS"", ""SSS"", ""unknown"", ""unknown"", ""unknown""]"
sigmf_5g_short_frame_011,sigmf_5g_short,test,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,914098,76800,11,7,"[""CSI-RS (TRS)"", ""CSI-RS (TRS)"", ""CSI-RS (TRS)"", ""CSI-RS (TRS)"", ""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_012,sigmf_5g_short,test,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,990898,76800,12,3,"[""PBCH"", ""PSS"", ""SSS""]"
sigmf_5g_short_frame_013,sigmf_5g_short,test,data/raw/sigmf_5g_short/1876954_7680KSPS_srsRAN_Project_gnb_short.sigmf-meta,1067698,32574,13,3,"[""PBCH"", ""PSS"", ""SSS""]"
