policy,samples,mean_bits_per_frame,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio,spectrum_scheme,packet_loss,ber,clean_rate
summary_only,11,177.0,0.26988319682012024,0.1499469093445112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,oracle,0.0,0.0001,0.933
semantic_only,11,2427.909090909091,1.7910017725188216,0.9951628453387392,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.0,0.0001,0.933
spectrum_rule,11,25407.603636363638,3.092810174374002,0.9516635718047664,0.5885715103051399,0.9248980876223627,23.165172077179683,0.0,0.36363636363636365,0.0,0.6363636363636364,0.0,oracle,0.0,0.0001,0.933
dqn,11,28395.47272727273,3.2912908261623683,0.9452230088360714,0.7644190561993119,0.8047999915154348,26.92045536770084,0.0,0.18181818181818182,0.0,0.8181818181818182,0.0,oracle,0.0,0.0001,0.933
oracle_policy,11,40371.95108417509,3.586364560040458,0.9230728507828253,0.9230728507828253,0.9248980876223627,22.8642120579763,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,oracle,0.0,0.0001,0.933
summary_only,11,177.0,0.26721195260891145,0.14846288478272854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,oracle,0.05,0.0001,0.9436
semantic_only,11,4673.0,1.6951764406614738,0.9420762225897078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.05,0.0001,0.9436
spectrum_rule,11,33935.89454545455,2.5298111783854673,0.6839327447771809,0.5165380129437814,0.5165380129437814,15.22099298876351,0.0,0.18181818181818182,0.0,0.8181818181818182,0.0,oracle,0.05,0.0001,0.9436
dqn,11,23333.13090909091,2.4962683284333327,0.7711805105087867,0.4272307591753801,0.4272307591753801,18.310048524560635,0.0,0.36363636363636365,0.0,0.6363636363636364,0.0,oracle,0.05,0.0001,0.9436
oracle_policy,11,33935.89454545455,2.5298111783854673,0.6839327447771809,0.5165380129437814,0.5165380129437814,15.22099298876351,0.0,0.18181818181818182,0.0,0.8181818181818182,0.0,oracle,0.05,0.0001,0.9436
summary_only,16,177.0,0.26451776652057307,0.14696611473365168,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,oracle,0.1,0.0001,0.9426
semantic_only,16,3264.5,1.6601597355477318,0.9225285975265176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.1,0.0001,0.9426
spectrum_rule,16,17105.68,2.0210718089345567,0.7101170684509267,0.30724064376230703,0.3511321642997795,17.96132300863263,0.0,0.4375,0.0,0.5625,0.0,oracle,0.1,0.0001,0.9426
dqn,16,21871.14,1.973883958824177,0.6411491978561443,0.360692621229459,0.3511321642997795,16.49171562293776,0.0,0.3125,0.0,0.6875,0.0,oracle,0.1,0.0001,0.9426
oracle_policy,16,17105.68,2.0210718089345567,0.7101170684509267,0.30724064376230703,0.3511321642997795,17.96132300863263,0.0,0.4375,0.0,0.5625,0.0,oracle,0.1,0.0001,0.9426
summary_only,11,177.0,0.259216573476989,0.1440210074872161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,oracle,0.2,0.0001,0.944
