frame_id,split,frame_number,n_samples,duration_s,n_pred,n_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_matched_iou,best_iou,semantic_packet_bits_per_frame,semantic_packet_bps,raw_iq_32bit_iq_bps,raw_iq_12bit_iq_bps,stft_8bit_bps
sigmf_5g_short_frame_000,train,0,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20166009495591825,0.30573678750818956,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_001,train,1,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20103095712855903,0.30447851185347113,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_002,train,2,76800,0.01,3,4,2,1,2,0.6666666666666666,0.5,0.5714285714285715,0.2007729731158851,0.30573678750818956,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_003,train,3,76800,0.01,21,7,2,19,5,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.2007729731158851,0.30573678750818956,1889,188900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_004,train,4,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2007729731158851,0.30573678750818956,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_005,train,5,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20014383528852586,0.30447851185347113,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_006,train,6,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.19925671344849272,0.30447851185347113,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_007,train,7,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20014383528852586,0.30447851185347113,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_008,val,8,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20014383528852586,0.30447851185347113,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_009,val,9,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20166009495591825,0.30573678750818956,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_010,val,10,76800,0.01,6,7,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.4649137987624554,0.8361486486486498,689,68900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_011,test,11,76800,0.01,28,7,2,26,5,0.07142857142857142,0.2857142857142857,0.1142857142857143,0.19988585127585193,0.30573678750818956,2449,244900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_012,test,12,76800,0.01,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20014383528852586,0.30447851185347113,449,44900.0,491520000.0,184320000.0,244531200.0
sigmf_5g_short_frame_013,test,13,32574,0.00424140625,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.19925671344849272,0.30447851185347113,449,105861.11622766622,491519999.99999994,184319999.99999997,242395078.2832934
