spectrum_scheme,packet_loss,ber,clean_rate,policy,mean_bits_per_frame,mean_expected_task,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,failed_transmission_rate,detail_per_mbit,priority_detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio
oracle,0.0,0.0001,0.933,summary_only,177.0,0.26990443682012016,0.26988319682012024,0.1499469093445112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle,0.0,0.0001,0.933,semantic_only,5305.6277372262775,1.7810395887731634,1.7804029134446964,0.9894664382073132,0.0,0.0,0.014598540145985401,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oracle,0.0,0.0001,0.933,roi_always,161836.55341163708,3.1733427401070333,3.1539223536976366,0.7437113137162704,0.7437113137162704,0.7379905518796287,0.28102189781021897,4.595447060866491,4.56009805153551,0.0,0.0,1.0,0.0,0.0
oracle,0.0,0.0001,0.933,lowres_always,52727.91795620439,3.8562128625846044,3.8498855124298594,0.9006254898242558,0.9006254898242558,0.9005523107427064,0.08759124087591241,17.080619238034622,17.079231375885197,0.0,0.0,0.0,1.0,0.0
oracle,0.0,0.0001,0.933,jpeg_always,1185557.2554744526,0.5375178444404055,0.3952509737834713,0.12637847667459068,0.12637847667459068,0.12596894956972532,0.8777372262773723,0.10659837480730933,0.10625294475492314,0.0,0.0,0.0,0.0,1.0
oracle,0.0,0.0001,0.933,spectrum_rule,48748.49512608365,3.796364884628313,3.7905150652131834,0.9080237261855014,0.8533522199877848,0.9027741632303206,0.072992700729927,17.50520129453566,18.519016041323436,0.0,0.05474452554744526,0.07116788321167883,0.8740875912408759,0.0
oracle,0.0,0.0001,0.933,oracle_policy,50341.60389833398,3.8722157987255854,3.866174806257785,0.9049672496351531,0.9049672496351531,0.9027741632303206,0.08211678832116788,17.976527952163682,17.932963857359283,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
random,0.0,0.0001,0.6965999999999999,summary_only,177.0,0.26990443682012016,0.26988319682012024,0.1499469093445112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
random,0.0,0.0001,0.6965999999999999,semantic_only,5305.6277372262775,1.7810395887731634,1.7804029134446964,0.9894664382073132,0.0,0.0,0.010948905109489052,0.0,0.0,0.0,1.0,0.0,0.0,0.0
random,0.0,0.0001,0.6965999999999999,roi_always,161836.55341163708,3.1733427401070333,3.1539223536976366,0.7437113137162704,0.7437113137162704,0.7379905518796287,0.2591240875912409,4.595447060866491,4.56009805153551,0.0,0.0,1.0,0.0,0.0
random,0.0,0.0001,0.6965999999999999,lowres_always,52727.91795620439,3.8562128625846044,3.8498855124298594,0.9006254898242558,0.9006254898242558,0.9005523107427064,0.0948905109489051,17.080619238034622,17.079231375885197,0.0,0.0,0.0,1.0,0.0
random,0.0,0.0001,0.6965999999999999,jpeg_always,1185557.2554744526,0.5375178444404055,0.3952509737834713,0.12637847667459068,0.12637847667459068,0.12596894956972532,0.8740875912408759,0.10659837480730933,0.10625294475492314,0.0,0.0,0.0,0.0,1.0
random,0.0,0.0001,0.6965999999999999,spectrum_rule,5278.78102189781,1.697406667954142,1.696773214231514,0.9430037044189679,0.0,0.0,0.012773722627737226,0.0,0.0,0.05474452554744526,0.9452554744525548,0.0,0.0,0.0
random,0.0,0.0001,0.6965999999999999,oracle_policy,50341.60389833398,3.8722157987255854,3.866174806257785,0.9049672496351531,0.9049672496351531,0.9027741632303206,0.11131386861313869,17.976527952163682,17.932963857359283,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
semantic_hard,0.0,0.0001,0.9219999999999999,summary_only,177.0,0.26990443682012016,0.26988319682012024,0.1499469093445112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
semantic_hard,0.0,0.0001,0.9219999999999999,semantic_only,5305.6277372262775,1.7810395887731634,1.7804029134446964,0.9894664382073132,0.0,0.0,0.010948905109489052,0.0,0.0,0.0,1.0,0.0,0.0,0.0
semantic_hard,0.0,0.0001,0.9219999999999999,roi_always,161836.55341163708,3.1733427401070333,3.1539223536976366,0.7437113137162704,0.7437113137162704,0.7379905518796287,0.2572992700729927,4.595447060866491,4.56009805153551,0.0,0.0,1.0,0.0,0.0
semantic_hard,0.0,0.0001,0.9219999999999999,lowres_always,52727.91795620439,3.8562128625846044,3.8498855124298594,0.9006254898242558,0.9006254898242558,0.9005523107427064,0.09124087591240876,17.080619238034622,17.079231375885197,0.0,0.0,0.0,1.0,0.0
semantic_hard,0.0,0.0001,0.9219999999999999,jpeg_always,1185557.2554744526,0.5375178444404055,0.3952509737834713,0.12637847667459068,0.12637847667459068,0.12596894956972532,0.8686131386861314,0.10659837480730933,0.10625294475492314,0.0,0.0,0.0,0.0,1.0
semantic_hard,0.0,0.0001,0.9219999999999999,spectrum_rule,48748.49512608365,3.796364884628313,3.7905150652131834,0.9080237261855014,0.8533522199877848,0.9027741632303206,0.10036496350364964,17.50520129453566,18.519016041323436,0.0,0.05474452554744526,0.07116788321167883,0.8740875912408759,0.0
semantic_hard,0.0,0.0001,0.9219999999999999,oracle_policy,50341.60389833398,3.8722157987255854,3.866174806257785,0.9049672496351531,0.9049672496351531,0.9027741632303206,0.11131386861313869,17.976527952163682,17.932963857359283,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
semantic_hard_rep3,0.0,0.0001,0.923,summary_only,177.0,0.26990443682012016,0.26988319682012024,0.1499469093445112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
semantic_hard_rep3,0.0,0.0001,0.923,semantic_only,5305.6277372262775,1.7810395887731634,1.7804029134446964,0.9894664382073132,0.0,0.0,0.005474452554744526,0.0,0.0,0.0,1.0,0.0,0.0,0.0
semantic_hard_rep3,0.0,0.0001,0.923,roi_always,161836.55341163708,3.1733427401070333,3.1539223536976366,0.7437113137162704,0.7437113137162704,0.7379905518796287,0.21715328467153286,4.595447060866491,4.56009805153551,0.0,0.0,1.0,0.0,0.0
semantic_hard_rep3,0.0,0.0001,0.923,lowres_always,52727.91795620439,3.8562128625846044,3.8498855124298594,0.9006254898242558,0.9006254898242558,0.9005523107427064,0.10766423357664233,17.080619238034622,17.079231375885197,0.0,0.0,0.0,1.0,0.0
semantic_hard_rep3,0.0,0.0001,0.923,jpeg_always,1185557.2554744526,0.5375178444404055,0.3952509737834713,0.12637847667459068,0.12637847667459068,0.12596894956972532,0.8686131386861314,0.10659837480730933,0.10625294475492314,0.0,0.0,0.0,0.0,1.0
semantic_hard_rep3,0.0,0.0001,0.923,spectrum_rule,48748.49512608365,3.796364884628313,3.7905150652131834,0.9080237261855014,0.8533522199877848,0.9027741632303206,0.08211678832116788,17.50520129453566,18.519016041323436,0.0,0.05474452554744526,0.07116788321167883,0.8740875912408759,0.0
semantic_hard_rep3,0.0,0.0001,0.923,oracle_policy,50341.60389833398,3.8722157987255854,3.866174806257785,0.9049672496351531,0.9049672496351531,0.9027741632303206,0.10036496350364964,17.976527952163682,17.932963857359283,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
spectrogram8_partial,0.0,0.0001,0.9038,summary_only,177.0,0.26990443682012016,0.26988319682012024,0.1499469093445112,0.0,0.0,0.0018248175182481751,0.0,0.0,1.0,0.0,0.0,0.0,0.0
spectrogram8_partial,0.0,0.0001,0.9038,semantic_only,5305.6277372262775,1.7810395887731634,1.7804029134446964,0.9894664382073132,0.0,0.0,0.012773722627737226,0.0,0.0,0.0,1.0,0.0,0.0,0.0
spectrogram8_partial,0.0,0.0001,0.9038,roi_always,161836.55341163708,3.1733427401070333,3.1539223536976366,0.7437113137162704,0.7437113137162704,0.7379905518796287,0.2664233576642336,4.595447060866491,4.56009805153551,0.0,0.0,1.0,0.0,0.0
spectrogram8_partial,0.0,0.0001,0.9038,lowres_always,52727.91795620439,3.8562128625846044,3.8498855124298594,0.9006254898242558,0.9006254898242558,0.9005523107427064,0.10948905109489052,17.080619238034622,17.079231375885197,0.0,0.0,0.0,1.0,0.0
spectrogram8_partial,0.0,0.0001,0.9038,jpeg_always,1185557.2554744526,0.5375178444404055,0.3952509737834713,0.12637847667459068,0.12637847667459068,0.12596894956972532,0.8686131386861314,0.10659837480730933,0.10625294475492314,0.0,0.0,0.0,0.0,1.0
spectrogram8_partial,0.0,0.0001,0.9038,spectrum_rule,48748.49512608365,3.796364884628313,3.7905150652131834,0.9080237261855014,0.8533522199877848,0.9027741632303206,0.08576642335766424,17.50520129453566,18.519016041323436,0.0,0.05474452554744526,0.07116788321167883,0.8740875912408759,0.0
spectrogram8_partial,0.0,0.0001,0.9038,oracle_policy,50341.60389833398,3.8722157987255854,3.866174806257785,0.9049672496351531,0.9049672496351531,0.9027741632303206,0.08759124087591241,17.976527952163682,17.932963857359283,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
oracle,0.05,0.0001,0.9436,summary_only,177.0,0.26723319260891154,0.26721195260891145,0.14846288478272857,0.0,0.0,0.009124087591240875,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle,0.05,0.0001,0.9436,semantic_only,5305.6277372262775,1.6841971632038053,1.683560487875338,0.9356650906687807,0.0,0.0,0.05474452554744526,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oracle,0.05,0.0001,0.9436,roi_always,161836.55341163708,1.1245212491069727,1.105100862697576,0.26909163463911845,0.26909163463911845,0.2529647785111828,0.7244525547445255,1.662737057645279,1.5630880241731164,0.0,0.0,1.0,0.0,0.0
oracle,0.05,0.0001,0.9436,lowres_always,52727.91795620439,2.34938643291991,2.343059082765165,0.5499051223110059,0.5499051223110059,0.5491712970281939,0.4781021897810219,10.429107456276864,10.415190250529777,0.0,0.0,0.0,1.0,0.0
oracle,0.05,0.0001,0.9436,jpeg_always,1185557.2554744526,0.0008268496286102311,-0.14144002102832404,0.00019736458491537666,0.00019736458491537666,0.0001900882884452559,1.0,0.00016647410658913523,0.0001603366581980756,0.0,0.0,0.0,0.0,1.0
oracle,0.05,0.0001,0.9436,spectrum_rule,45173.037402965914,2.3925542076556305,2.3871334431672744,0.6019746760881293,0.5194232244144855,0.5495056505388765,0.3886861313868613,11.498523328882504,12.164460973412377,0.0,0.08576642335766424,0.06934306569343066,0.8448905109489051,0.0
oracle,0.05,0.0001,0.9436,oracle_policy,46300.070380434896,2.428850810579265,2.4232948021336127,0.5909306735706028,0.5552755922156506,0.5495056505388765,0.4233576642335766,11.992975121918915,11.868354540797458,0.0,0.03832116788321168,0.09671532846715329,0.864963503649635,0.0
random,0.05,0.0001,0.6956,summary_only,177.0,0.2643883998448273,0.26436715984482734,0.1468824443582374,0.0,0.0,0.014598540145985401,0.0,0.0,1.0,0.0,0.0,0.0,0.0
random,0.05,0.0001,0.6956,semantic_only,5305.6277372262775,1.5876158041010946,1.5869791287726274,0.8820087800561636,0.0,0.0,0.10948905109489052,0.0,0.0,0.0,1.0,0.0,0.0,0.0
random,0.05,0.0001,0.6956,roi_always,161836.55341163708,0.5361979963931061,0.5167776099837096,0.1312910459188291,0.1312910459188291,0.11500505151377798,0.8740875912408759,0.8112570562775494,0.7106246956536358,0.0,0.0,1.0,0.0,0.0
random,0.05,0.0001,0.6956,lowres_always,52727.91795620439,1.4200168348410689,1.4136894846863244,0.3332782386765394,0.3332782386765394,0.33189773261251976,0.7043795620437956,6.3207168345497555,6.294535143378747,0.0,0.0,0.0,1.0,0.0
random,0.05,0.0001,0.6956,jpeg_always,1185557.2554744526,2.101079314942375e-05,-0.14224585986378488,4.806958580800748e-06,4.806958580800748e-06,4.978813345712596e-06,1.0,4.054598425005659e-06,4.1995553759401574e-06,0.0,0.0,0.0,0.0,1.0
random,0.05,0.0001,0.6956,spectrum_rule,5278.78102189781,1.5057576957938148,1.5051242420711872,0.836532053218786,0.0,0.0,0.11678832116788321,0.0,0.0,0.05474452554744526,0.9452554744525548,0.0,0.0,0.0
random,0.05,0.0001,0.6956,oracle_policy,16782.05760027525,1.74507928140285,1.7430654344908167,0.7174568087138661,0.19119899641199797,0.1794600661453821,0.2354014598540146,11.393060431925942,10.693567524308742,0.0,0.6040145985401459,0.07664233576642336,0.3193430656934307,0.0
semantic_hard,0.05,0.0001,0.9219999999999999,summary_only,177.0,0.26698542033591055,0.2669641803359106,0.1483252335199503,0.0,0.0,0.010948905109489052,0.0,0.0,1.0,0.0,0.0,0.0,0.0
semantic_hard,0.05,0.0001,0.9219999999999999,semantic_only,5305.6277372262775,1.6755239822208963,1.6748873068924288,0.9308466567893868,0.0,0.0,0.08394160583941605,0.0,0.0,0.0,1.0,0.0,0.0,0.0
semantic_hard,0.05,0.0001,0.9219999999999999,roi_always,161836.55341163708,1.0427408974828056,1.0233205110734092,0.2500238050644278,0.2500238050644278,0.23368739334842153,0.7664233576642335,1.5449155323302224,1.4439716394233215,0.0,0.0,1.0,0.0,0.0
semantic_hard,0.05,0.0001,0.9219999999999999,lowres_always,52727.91795620439,2.2465655726645757,2.2402382225098307,0.5259546657802423,0.5259546657802423,0.5251540766222663,0.4726277372262774,9.974880218428089,9.959696816750045,0.0,0.0,0.0,1.0,0.0
semantic_hard,0.05,0.0001,0.9219999999999999,jpeg_always,1185557.2554744526,0.0005466754433034596,-0.14172019521363086,0.00012999175389247894,0.00012999175389247894,0.00012579293195529373,1.0,0.00010964612066791919,0.00010610447650202451,0.0,0.0,0.0,0.0,1.0
semantic_hard,0.05,0.0001,0.9219999999999999,spectrum_rule,43505.79185552067,2.2988514461727023,2.2936307511500402,0.5932053186257955,0.48856355629976683,0.5168587429580546,0.38503649635036497,11.229850910937287,11.88022837682169,0.0,0.10948905109489052,0.06934306569343066,0.8211678832116789,0.0
semantic_hard,0.05,0.0001,0.9219999999999999,oracle_policy,44632.824832989645,2.3327368545786324,2.327380915598674,0.5814667537754179,0.5236762272916365,0.5168587429580546,0.39963503649635035,11.73298417142913,11.580238196710027,0.0,0.06204379562043796,0.09671532846715329,0.8412408759124088,0.0
semantic_hard_rep3,0.05,0.0001,0.931,summary_only,177.0,0.2670886587829943,0.26706741878299434,0.1483825882127746,0.0,0.0,0.010948905109489052,0.0,0.0,1.0,0.0,0.0,0.0,0.0
semantic_hard_rep3,0.05,0.0001,0.931,semantic_only,5305.6277372262775,1.6791315935390412,1.6784949182105742,0.9328508852994675,0.0,0.0,0.060218978102189784,0.0,0.0,0.0,1.0,0.0,0.0,0.0
