policy,samples,mean_bits_per_frame,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio,spectrum_scheme,packet_loss,ber,clean_rate
summary_only,73,177.0,0.26988319682012024,0.1499469093445112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,oracle,0.0,0.0001,0.933
semantic_only,73,5217.438356164384,1.7807289219598905,0.9896416747570167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.0,0.0001,0.933
spectrum_rule,73,49193.589154897396,3.729408331521659,0.9070979757745771,0.8386965056605297,0.9003653663708628,17.048898445277082,0.0,0.0684931506849315,0.0958904109589041,0.8356164383561644,0.0,oracle,0.0,0.0001,0.933
dqn,73,51986.606574017016,3.816964416846735,0.9017566840709113,0.9017566840709113,0.9003653663708628,17.34594241666873,0.0,0.0,0.1232876712328767,0.8767123287671232,0.0,oracle,0.0,0.0001,0.933
oracle_policy,73,51986.606574017016,3.816964416846735,0.9017566840709113,0.9017566840709113,0.9003653663708628,17.34594241666873,0.0,0.0,0.1232876712328767,0.8767123287671232,0.0,oracle,0.0,0.0001,0.933
summary_only,73,177.0,0.26721195260891145,0.14846288478272854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,oracle,0.05,0.0001,0.9436
semantic_only,73,5299.301369863014,1.6833640400996797,0.9355555312578131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.05,0.0001,0.9436
spectrum_rule,73,47940.76156231095,2.324502708781726,0.5845294606503251,0.5035465848828474,0.5405720690654097,10.503516599926417,0.0,0.0821917808219178,0.0547945205479452,0.863013698630137,0.0,oracle,0.05,0.0001,0.9436
dqn,73,49723.96683196224,2.368225341406379,0.5669159237684782,0.5536809489814346,0.5405720690654097,11.135092074462813,0.0,0.0136986301369863,0.0821917808219178,0.9041095890410958,0.0,oracle,0.05,0.0001,0.9436
oracle_policy,73,49723.96683196224,2.368225341406379,0.5669159237684782,0.5536809489814346,0.5405720690654097,11.135092074462813,0.0,0.0136986301369863,0.0821917808219178,0.9041095890410958,0.0,oracle,0.05,0.0001,0.9436
summary_only,84,177.0,0.264517766520573,0.14696611473365162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,oracle,0.1,0.0001,0.9426
semantic_only,84,5835.285714285715,1.5761283071914907,0.8760158563762249,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.1,0.0001,0.9426
spectrum_rule,84,16538.768146164024,1.7184089971124155,0.7254642120531828,0.16890567152410715,0.17516143713611113,10.212711734717853,0.0,0.6428571428571429,0.03571428571428571,0.32142857142857145,0.0,oracle,0.1,0.0001,0.9426
