method,scheme,n_frames,mean_bits_per_frame,mean_bitrate_bps,mean_n_pred,mean_frame_f1
frame_cnn,feature_token_16d_6bit,3,571.6666666666666,57166.666666666664,2.3333333333333335,0.611111111111111
frame_cnn,feature_token_32d_8bit,3,945.0,94500.0,2.3333333333333335,0.611111111111111
frame_cnn,hard_box,3,377.0,37700.0,2.3333333333333335,0.611111111111111
frame_cnn,semantic_box_current,3,395.6666666666667,39566.666666666664,2.3333333333333335,0.611111111111111
frame_cnn,soft_box_8class,3,526.3333333333334,52633.333333333336,2.3333333333333335,0.611111111111111
tuned_traditional,feature_token_16d_6bit,3,1083.6666666666667,132307.5950144287,6.333333333333333,0.7151515151515152
tuned_traditional,feature_token_32d_8bit,3,2097.0,248123.15343525508,6.333333333333333,0.7151515151515152
tuned_traditional,hard_box,3,665.0,82475.70454964081,6.333333333333333,0.7151515151515152
tuned_traditional,semantic_box_current,3,715.6666666666666,88266.48247068214,6.333333333333333,0.7151515151515152
tuned_traditional,soft_box_8class,3,1070.3333333333333,128801.92791797139,6.333333333333333,0.7151515151515152
