snr_db,class_idx,class_name,truth,matched,recall,mean_iou
-20.0,0,Rect,12,10,0.8333333333333334,0.47257739007472993
-20.0,1,Barker,7,4,0.5714285714285714,0.5642862319946289
-20.0,2,Frank,9,6,0.6666666666666666,0.6503690183162689
-20.0,3,P1,8,7,0.875,0.6606881405626025
-20.0,4,P2,11,11,1.0,0.5396493890068748
-20.0,5,P3,13,10,0.7692307692307693,0.5222276955842972
-20.0,6,P4,8,4,0.5,0.6515104994177818
-20.0,7,Px,6,6,1.0,0.556735172867775
-20.0,8,ZadoffChu,9,9,1.0,0.4698066645198398
-20.0,9,LFM,7,4,0.5714285714285714,0.43562422692775726
-20.0,10,FMCW,10,5,0.5,0.689760434627533
-12.0,0,Rect,7,4,0.5714285714285714,0.48868797719478607
-12.0,1,Barker,6,2,0.3333333333333333,0.47668446600437164
-12.0,2,Frank,7,4,0.5714285714285714,0.6522338539361954
-12.0,3,P1,13,7,0.5384615384615384,0.5465378037520817
-12.0,4,P2,7,3,0.42857142857142855,0.5529859761397043
-12.0,5,P3,8,7,0.875,0.5832328413214002
-12.0,6,P4,6,4,0.6666666666666666,0.5218715965747833
-12.0,7,Px,9,5,0.5555555555555556,0.45071716904640197
-12.0,8,ZadoffChu,8,5,0.625,0.5822549939155579
-12.0,9,LFM,5,4,0.8,0.6102078855037689
-12.0,10,FMCW,6,5,0.8333333333333334,0.592614209651947
-4.0,0,Rect,5,5,1.0,0.40803874135017393
-4.0,1,Barker,10,6,0.6,0.4595881501833598
-4.0,2,Frank,4,3,0.75,0.4847959478696187
-4.0,3,P1,7,4,0.5714285714285714,0.5196950137615204
-4.0,4,P2,6,2,0.3333333333333333,0.4798460751771927
-4.0,5,P3,6,2,0.3333333333333333,0.3502131998538971
-4.0,6,P4,8,4,0.5,0.4568078964948654
-4.0,7,Px,6,3,0.5,0.6044002572695414
-4.0,8,ZadoffChu,12,7,0.5833333333333334,0.4434600557599749
-4.0,9,LFM,8,5,0.625,0.6154747843742371
-4.0,10,FMCW,5,3,0.6,0.4286123514175415
4.0,0,Rect,6,3,0.5,0.4523120919863383
4.0,1,Barker,3,2,0.6666666666666666,0.5554227232933044
4.0,2,Frank,11,5,0.45454545454545453,0.37213857769966124
4.0,3,P1,8,5,0.625,0.39787015318870544
4.0,4,P2,6,4,0.6666666666666666,0.43765629082918167
4.0,5,P3,7,6,0.8571428571428571,0.40136927366256714
4.0,6,P4,6,2,0.3333333333333333,0.4422031044960022
4.0,7,Px,10,6,0.6,0.42231204609076184
4.0,8,ZadoffChu,11,8,0.7272727272727273,0.4134978652000427
4.0,9,LFM,8,5,0.625,0.4018648624420166
4.0,10,FMCW,5,3,0.6,0.5873627960681915
12.0,0,Rect,13,1,0.07692307692307693,0.3402867317199707
12.0,1,Barker,7,5,0.7142857142857143,0.39087981581687925
12.0,2,Frank,9,3,0.3333333333333333,0.4113840063412984
12.0,3,P1,8,7,0.875,0.4467861907822745
12.0,4,P2,6,3,0.5,0.4787597159544627
12.0,5,P3,9,5,0.5555555555555556,0.48048717379570005
12.0,6,P4,10,6,0.6,0.45522937675317127
12.0,7,Px,5,1,0.2,0.45304805040359497
12.0,8,ZadoffChu,7,3,0.42857142857142855,0.422320157289505
12.0,9,LFM,4,2,0.5,0.3701556921005249
12.0,10,FMCW,5,4,0.8,0.5686319693922997
20.0,0,Rect,8,4,0.5,0.4327777028083801
20.0,1,Barker,6,5,0.8333333333333334,0.48850410580635073
20.0,2,Frank,7,4,0.5714285714285714,0.40211188793182373
20.0,3,P1,13,8,0.6153846153846154,0.5327469557523727
20.0,4,P2,11,7,0.6363636363636364,0.5123513851846967
20.0,5,P3,8,5,0.625,0.5725754559040069
20.0,6,P4,9,8,0.8888888888888888,0.5659185163676739
20.0,7,Px,7,4,0.5714285714285714,0.502343624830246
20.0,8,ZadoffChu,10,9,0.9,0.46073876486884224
20.0,9,LFM,9,5,0.5555555555555556,0.5198190093040467
20.0,10,FMCW,5,5,1.0,0.5960974156856537
