split,stem,n_boxes,classes,snr_db,image_compressed_bits,raw_spectrogram_8bit_bits,raw_iq_12bit_bits,semantic_box_bits
train,000000000000,1,Frank,-20.0,114944,131072,24000000,281
train,000000000001,0,,20.0,114208,131072,24000000,209
train,000000000002,1,P3,-4.0,113784,131072,24000000,281
train,000000000003,0,,12.0,112384,131072,24000000,209
train,000000000004,1,Barker,4.0,112360,131072,24000000,281
train,000000000005,0,,12.0,113032,131072,24000000,209
train,000000000006,0,,-4.0,111168,131072,24000000,209
train,000000000007,1,Frank,4.0,113856,131072,24000000,281
train,000000000008,0,,20.0,112712,131072,24000000,209
train,000000000009,0,,-4.0,114728,131072,24000000,209
train,000000000010,1,P1,-4.0,112936,131072,24000000,281
train,000000000011,0,,12.0,111896,131072,24000000,209
train,000000000012,1,P3,4.0,114792,131072,24000000,281
train,000000000013,0,,-20.0,113648,131072,24000000,209
train,000000000014,1,Barker,4.0,115264,131072,24000000,281
train,000000000015,1,P1,-12.0,121312,131072,24000000,281
train,000000000016,0,,20.0,114080,131072,24000000,209
train,000000000017,1,Rect,-4.0,115176,131072,24000000,281
train,000000000018,0,,4.0,112752,131072,24000000,209
train,000000000019,1,LFM,20.0,142328,131072,24000000,281
train,000000000020,1,P3,-4.0,112688,131072,24000000,281
train,000000000021,0,,20.0,113880,131072,24000000,209
train,000000000022,1,LFM,-20.0,124096,131072,24000000,281
train,000000000023,1,P2,4.0,113760,131072,24000000,281
train,000000000024,1,Barker,-20.0,137688,131072,24000000,281
train,000000000025,1,Barker,20.0,117784,131072,24000000,281
train,000000000026,1,Frank,-12.0,112192,131072,24000000,281
train,000000000027,0,,12.0,111096,131072,24000000,209
train,000000000028,1,Px,4.0,113872,131072,24000000,281
train,000000000029,1,Barker,4.0,114480,131072,24000000,281
train,000000000030,1,P4,12.0,116608,131072,24000000,281
train,000000000031,1,P3,4.0,114144,131072,24000000,281
train,000000000032,0,,20.0,113376,131072,24000000,209
train,000000000033,0,,4.0,113648,131072,24000000,209
train,000000000034,1,P4,4.0,114264,131072,24000000,281
train,000000000035,0,,-12.0,112040,131072,24000000,209
train,000000000036,1,P1,-4.0,110688,131072,24000000,281
train,000000000037,0,,-12.0,113096,131072,24000000,209
train,000000000038,0,,20.0,113320,131072,24000000,209
train,000000000039,0,,-12.0,113424,131072,24000000,209
train,000000000040,0,,-12.0,114688,131072,24000000,209
train,000000000041,0,,-4.0,110424,131072,24000000,209
train,000000000042,0,,20.0,113512,131072,24000000,209
train,000000000043,0,,12.0,110400,131072,24000000,209
train,000000000044,1,P4,-12.0,122592,131072,24000000,281
train,000000000045,1,Frank,12.0,116280,131072,24000000,281
train,000000000046,1,P1,-12.0,117320,131072,24000000,281
train,000000000047,1,FMCW,-12.0,135744,131072,24000000,281
train,000000000048,0,,-20.0,114240,131072,24000000,209
train,000000000049,0,,-20.0,113768,131072,24000000,209
train,000000000050,1,P3,-12.0,140720,131072,24000000,281
train,000000000051,0,,12.0,112736,131072,24000000,209
train,000000000052,0,,20.0,113408,131072,24000000,209
train,000000000053,1,Rect,-12.0,112856,131072,24000000,281
train,000000000054,1,P1,-4.0,114632,131072,24000000,281
train,000000000055,1,Px,-12.0,139008,131072,24000000,281
train,000000000056,1,LFM,-20.0,136528,131072,24000000,281
train,000000000057,1,Rect,20.0,139944,131072,24000000,281
train,000000000058,0,,-12.0,113088,131072,24000000,209
train,000000000059,0,,4.0,111496,131072,24000000,209
train,000000000060,1,LFM,12.0,113752,131072,24000000,281
train,000000000061,1,ZadoffChu,-20.0,117000,131072,24000000,281
train,000000000062,1,LFM,-4.0,113928,131072,24000000,281
train,000000000063,1,Barker,-4.0,113712,131072,24000000,281
train,000000000064,0,,12.0,113632,131072,24000000,209
train,000000000065,1,Barker,-12.0,111672,131072,24000000,281
train,000000000066,0,,-12.0,112256,131072,24000000,209
train,000000000067,0,,-12.0,114184,131072,24000000,209
train,000000000068,1,Px,-20.0,107952,131072,24000000,281
train,000000000069,0,,-20.0,113760,131072,24000000,209
train,000000000070,0,,-4.0,113152,131072,24000000,209
train,000000000071,1,P1,4.0,115008,131072,24000000,281
train,000000000072,0,,20.0,112680,131072,24000000,209
train,000000000073,1,LFM,12.0,116008,131072,24000000,281
train,000000000074,0,,-20.0,112992,131072,24000000,209
train,000000000075,1,LFM,4.0,113040,131072,24000000,281
train,000000000076,0,,20.0,113368,131072,24000000,209
train,000000000077,0,,20.0,112464,131072,24000000,209
train,000000000078,1,P2,-12.0,111384,131072,24000000,281
train,000000000079,1,P1,-12.0,136544,131072,24000000,281
train,000000000080,1,P2,-12.0,121680,131072,24000000,281
train,000000000081,0,,20.0,113344,131072,24000000,209
train,000000000082,1,Px,-4.0,113808,131072,24000000,281
train,000000000083,1,LFM,-12.0,125296,131072,24000000,281
train,000000000084,1,Rect,20.0,122544,131072,24000000,281
train,000000000085,1,Rect,20.0,145248,131072,24000000,281
train,000000000086,1,ZadoffChu,20.0,117704,131072,24000000,281
train,000000000087,0,,20.0,111504,131072,24000000,209
train,000000000088,1,P4,20.0,116424,131072,24000000,281
train,000000000089,1,Barker,-12.0,134496,131072,24000000,281
train,000000000090,0,,12.0,113472,131072,24000000,209
train,000000000091,1,Px,-4.0,112456,131072,24000000,281
train,000000000092,0,,-4.0,113256,131072,24000000,209
train,000000000093,1,FMCW,4.0,116048,131072,24000000,281
train,000000000094,0,,12.0,113360,131072,24000000,209
train,000000000095,0,,-12.0,113640,131072,24000000,209
train,000000000096,1,Px,-4.0,112176,131072,24000000,281
train,000000000097,1,FMCW,20.0,117024,131072,24000000,281
train,000000000098,1,Px,-20.0,134224,131072,24000000,281
train,000000000099,1,P2,-20.0,132536,131072,24000000,281
train,000000000100,1,P4,-12.0,115488,131072,24000000,281
train,000000000101,0,,-20.0,113112,131072,24000000,209
train,000000000102,0,,4.0,112792,131072,24000000,209
train,000000000103,1,P1,-4.0,113472,131072,24000000,281
train,000000000104,1,FMCW,-12.0,109536,131072,24000000,281
train,000000000105,1,P2,-4.0,111944,131072,24000000,281
train,000000000106,1,LFM,20.0,139312,131072,24000000,281
train,000000000107,0,,-20.0,114200,131072,24000000,209
train,000000000108,0,,12.0,113048,131072,24000000,209
train,000000000109,0,,-20.0,114152,131072,24000000,209
train,000000000110,0,,-12.0,113432,131072,24000000,209
train,000000000111,0,,-12.0,113296,131072,24000000,209
train,000000000112,1,P4,-20.0,138000,131072,24000000,281
train,000000000113,1,P4,-20.0,109704,131072,24000000,281
train,000000000114,1,P1,4.0,114280,131072,24000000,281
train,000000000115,0,,-20.0,111968,131072,24000000,209
train,000000000116,1,FMCW,12.0,115136,131072,24000000,281
train,000000000117,0,,20.0,113192,131072,24000000,209
train,000000000118,1,P1,4.0,112712,131072,24000000,281
train,000000000119,1,FMCW,-20.0,113584,131072,24000000,281
train,000000000120,1,P1,-12.0,133336,131072,24000000,281
train,000000000121,1,Frank,-12.0,110792,131072,24000000,281
train,000000000122,0,,12.0,111792,131072,24000000,209
train,000000000123,0,,12.0,113440,131072,24000000,209
train,000000000124,0,,-12.0,113104,131072,24000000,209
train,000000000125,0,,4.0,109632,131072,24000000,209
train,000000000126,0,,-20.0,112544,131072,24000000,209
train,000000000127,0,,-12.0,112032,131072,24000000,209
train,000000000128,0,,-20.0,113296,131072,24000000,209
train,000000000129,1,P3,20.0,124432,131072,24000000,281
train,000000000130,1,P1,-12.0,136744,131072,24000000,281
train,000000000131,0,,-20.0,112384,131072,24000000,209
train,000000000132,1,Frank,20.0,115712,131072,24000000,281
train,000000000133,1,ZadoffChu,-4.0,114792,131072,24000000,281
train,000000000134,0,,12.0,113776,131072,24000000,209
train,000000000135,0,,4.0,112744,131072,24000000,209
train,000000000136,1,Rect,-20.0,132752,131072,24000000,281
train,000000000137,0,,-20.0,112072,131072,24000000,209
train,000000000138,0,,20.0,113552,131072,24000000,209
train,000000000139,1,P1,-4.0,114080,131072,24000000,281
train,000000000140,0,,4.0,112696,131072,24000000,209
train,000000000141,0,,12.0,112192,131072,24000000,209
train,000000000142,1,P3,-12.0,120704,131072,24000000,281
train,000000000143,0,,4.0,113032,131072,24000000,209
train,000000000144,1,Barker,-20.0,109520,131072,24000000,281
train,000000000145,1,FMCW,-4.0,135344,131072,24000000,281
train,000000000146,1,P4,4.0,113888,131072,24000000,281
train,000000000147,0,,-4.0,113968,131072,24000000,209
train,000000000148,1,ZadoffChu,-12.0,110648,131072,24000000,281
train,000000000149,1,P4,-4.0,113624,131072,24000000,281
train,000000000150,1,P2,4.0,114840,131072,24000000,281
train,000000000151,0,,-20.0,112752,131072,24000000,209
