threshold_sigma,min_cells,enhancement,n_fft,hop_length,n_pred,n_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_matched_iou,best_iou,raw_iq_32bit_iq_bps,raw_iq_12bit_iq_bps,stft_8bit_bps,semantic_packet_bps,semantic_packet_bits_per_frame,truth_label_counts,matched_truth_label_counts
3.0,4,raw,1024,256,128,55,1,127,54,0.0078125,0.01818181818181818,0.01092896174863388,0.3843167701863549,0.3843167701863549,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{'PDCCH': 1}
3.0,8,raw,1024,256,128,55,1,127,54,0.0078125,0.01818181818181818,0.01092896174863388,0.3843167701863549,0.3843167701863549,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{'PDCCH': 1}
3.0,16,raw,1024,256,128,55,1,127,54,0.0078125,0.01818181818181818,0.01092896174863388,0.3843167701863549,0.3843167701863549,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{'PDCCH': 1}
3.0,32,raw,1024,256,89,55,1,88,54,0.011235955056179775,0.01818181818181818,0.013888888888888888,0.3843167701863549,0.3843167701863549,491520000.0,184320000.0,245534850.14614567,51157.09569997237,7329,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{'PDCCH': 1}
4.0,4,raw,1024,256,128,55,10,118,45,0.078125,0.18181818181818182,0.10928961748633881,0.1918125379939211,0.562200956937792,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 8, 'PDCCH': 1, 'PDSCH': 1}"
4.0,8,raw,1024,256,77,55,10,67,45,0.12987012987012986,0.18181818181818182,0.15151515151515152,0.1918125379939211,0.562200956937792,491520000.0,184320000.0,245534850.14614567,44456.20719240333,6369,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 8, 'PDCCH': 1, 'PDSCH': 1}"
4.0,16,raw,1024,256,70,55,10,60,45,0.14285714285714285,0.18181818181818182,0.16,0.1918125379939211,0.562200956937792,491520000.0,184320000.0,245534850.14614567,40547.35556298806,5809,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 8, 'PDCCH': 1, 'PDSCH': 1}"
4.0,32,raw,1024,256,58,55,10,48,45,0.1724137931034483,0.18181818181818182,0.1769911504424779,0.1918125379939211,0.562200956937792,491520000.0,184320000.0,245534850.14614567,33846.46705541902,4849,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 8, 'PDCCH': 1, 'PDSCH': 1}"
5.0,4,raw,1024,256,128,55,2,126,53,0.015625,0.03636363636363636,0.02185792349726776,0.6158647916728687,0.6501976284584899,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
5.0,8,raw,1024,256,128,55,2,126,53,0.015625,0.03636363636363636,0.02185792349726776,0.6158647916728687,0.6501976284584899,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
5.0,16,raw,1024,256,128,55,2,126,53,0.015625,0.03636363636363636,0.02185792349726776,0.6158647916728687,0.6501976284584899,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
5.0,32,raw,1024,256,128,55,2,126,53,0.015625,0.03636363636363636,0.02185792349726776,0.6158647916728687,0.6501976284584899,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
6.0,4,raw,1024,256,128,55,2,126,53,0.015625,0.03636363636363636,0.02185792349726776,0.6511531357673082,0.7009943181818161,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
6.0,8,raw,1024,256,128,55,2,126,53,0.015625,0.03636363636363636,0.02185792349726776,0.6511531357673082,0.7009943181818161,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
6.0,16,raw,1024,256,9,55,2,7,53,0.2222222222222222,0.03636363636363636,0.0625,0.6511531357673082,0.7009943181818161,491520000.0,184320000.0,245534850.14614567,6484.505649512121,929,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
6.0,32,raw,1024,256,7,55,2,5,53,0.2857142857142857,0.03636363636363636,0.06451612903225805,0.6511531357673082,0.7009943181818161,491520000.0,184320000.0,245534850.14614567,5367.690898250615,769,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
7.0,4,raw,1024,256,128,55,16,112,39,0.125,0.2909090909090909,0.17486338797814208,0.645855596794473,0.7302456348031917,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
7.0,8,raw,1024,256,24,55,16,8,39,0.6666666666666666,0.2909090909090909,0.40506329113924044,0.645855596794473,0.7302456348031917,491520000.0,184320000.0,245534850.14614567,14860.616283973417,2129,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
7.0,16,raw,1024,256,18,55,16,2,39,0.8888888888888888,0.2909090909090909,0.4383561643835616,0.645855596794473,0.7302456348031917,491520000.0,184320000.0,245534850.14614567,11510.172030188898,1649,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
7.0,32,raw,1024,256,16,55,16,0,39,1.0,0.2909090909090909,0.45070422535211263,0.645855596794473,0.7302456348031917,491520000.0,184320000.0,245534850.14614567,10393.357278927393,1489,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
8.0,4,raw,1024,256,128,55,3,125,52,0.0234375,0.05454545454545454,0.03278688524590164,0.08473737774170016,0.13195657094813007,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 1, 'PDCCH': 1, 'PDSCH': 1}"
8.0,8,raw,1024,256,128,55,3,125,52,0.0234375,0.05454545454545454,0.03278688524590164,0.08473737774170016,0.13195657094813007,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 1, 'PDCCH': 1, 'PDSCH': 1}"
