scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
fixed_ch0,0.0,0.0,5,0.0,0.0,0.0,0.020231292024254798,0.979768717288971,0.01607208512723446,0.01607208512723446,0.979768717288971,0.6842,0.9718,0.472,0.3786,0.0
iq12_gate,0.0,0.0,5,96000000.0,0.0013653333333333334,0.25,0.00568170016631484,0.9943183183670044,0.0015224935603328049,0.0015224934788420797,0.9911152839660644,0.922,0.9944,0.9186,0.7830000000000001,0.6406000018119812
iq12_partial,0.0,0.0,5,120000000.0,0.0010922666666666667,0.2,0.0055909018963575365,0.9944090604782104,0.0014316950459033252,0.001431694976054132,0.991231095790863,0.9224,0.9945999999999999,0.9186,0.7848,0.6356000065803528
oracle,0.0,0.0,5,0.0,0.0,0.0,0.004159206803888082,0.9958407998085022,0.0,0.0,0.9926277875900269,0.9328,0.9998000000000001,1.0,1.0,0.6425999999046326
random,0.0,0.0,5,0.0,0.0,0.0,0.018730057775974272,0.9812699556350708,0.014570851065218448,0.014570850133895873,0.9779219150543212,0.6911999999999999,0.9751999999999998,0.45039999999999997,0.34459999999999996,0.669599997997284
semantic_hard,0.0,0.0,5,1047.5792,125.12154305464455,22910.438791743996,0.005563815031200648,0.9944361567497253,0.0014046083320863544,0.001404608238954097,0.9912081837654114,0.9232000000000001,0.9948,0.9196000000000002,0.7902000000000001,0.6455999970436096
semantic_hard_rep3,0.0,0.0,5,3142.7376,41.707181018214854,7636.812930581332,0.0054735146462917324,0.994526481628418,0.0013143077143467964,0.0013143076212145388,0.9913474559783936,0.9228,0.9952,0.9188000000000003,0.79,0.6358000040054321
semantic_soft,0.0,0.0,5,1306.176,100.35454630158975,18375.46624174617,0.005540088005363941,0.9944599151611329,0.0013808810967020691,0.0013808809570036828,0.9912848949432373,0.9224,0.9948,0.9186,0.7886,0.6350000023841857
semantic_soft_rep3,0.0,0.0,5,3918.528,33.45151543386324,6125.1554139153895,0.005641042068600654,0.9943589329719543,0.001481835125014186,0.0014818350085988642,0.9911529064178467,0.9221999999999999,0.9944,0.9188000000000001,0.7856000000000001,0.6412000060081482
spectrogram8_gate,0.0,0.0,5,524288.0,0.25,45.7763671875,0.005584832839667797,0.9944151520729065,0.0014256261056289077,0.0014256260474212468,0.9912201523780823,0.9228,0.9945999999999999,0.9184000000000001,0.7886000000000001,0.6390000104904174
spectrogram8_partial,0.0,0.0,5,655360.0,0.2,36.62109375,0.005617272853851318,0.9943827152252197,0.0014580660848878325,0.0014580659684725107,0.9912007093429566,0.9228000000000002,0.9945999999999999,0.9194000000000001,0.7844,0.6363999962806701
spectrogram8_rep3_partial,0.0,0.0,5,1966080.0,0.06666666666666667,12.20703125,0.005685615818947554,0.9943143844604492,0.0015264092595316469,0.001526409201323986,0.9911063551902771,0.9224,0.9942,0.9190000000000002,0.7870000000000001,0.6416000127792358
