scheme,packet_loss,ber,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,precision,recall,f1,mean_iou,tp,fp,fn
hard,0.0,0.0,261.9920000000001,500.29008519344086,91605.85056032243,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
hard_rep3,0.0,0.0,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.0,0.0,326.76000000000005,401.12620883829106,73448.40249724567,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft_rep3,0.0,0.0,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.0,0.0,131072.0,1.0,183.10546875,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
iq12,0.0,0.0,24000000.0,0.005461333333333334,1.0,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
hard,0.0,1e-06,261.9920000000001,500.29008519344086,91605.85056032243,0.43888854998521143,0.625968992248062,0.5159950633742207,0.5032999355911102,323.0,412.95,193.0
hard_rep3,0.0,1e-06,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.0,1e-06,326.76000000000005,401.12620883829106,73448.40249724567,0.4388802314404022,0.6258720930232557,0.5159563722823658,0.5033309063147706,322.95,412.9,193.05
soft_rep3,0.0,1e-06,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.0,1e-06,131072.0,1.0,183.10546875,0.43796319196311384,0.5523255813953487,0.48849852294267243,0.5029625205301878,285.0,365.85,231.0
iq12,0.0,1e-06,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.0,1e-05,261.9920000000001,500.29008519344086,91605.85056032243,0.4387789073839463,0.6253875968992249,0.51572160995804,0.5033557354795227,322.7,412.75,193.3
hard_rep3,0.0,1e-05,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.0,1e-05,326.76000000000005,401.12620883829106,73448.40249724567,0.4387420314963964,0.6246124031007751,0.51543220790816,0.5033530158368561,322.3,412.3,193.7
soft_rep3,0.0,1e-05,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.0,1e-05,131072.0,1.0,183.10546875,0.4521508172860278,0.1770348837209302,0.2540918845107817,0.504346104639995,91.35,111.15,424.65
iq12,0.0,1e-05,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.0,0.0001,261.9920000000001,500.29008519344086,91605.85056032243,0.4384364599353033,0.6193798449612403,0.5134314525525686,0.5032382284108612,319.6,409.35,196.4
hard_rep3,0.0,0.0001,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.0,0.0001,326.76000000000005,401.12620883829106,73448.40249724567,0.43783706112377396,0.6125968992248063,0.5106774498194883,0.5032159645512113,316.1,405.85,199.9
soft_rep3,0.0,0.0001,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.0,0.0001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.0,0.0001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.0,0.001,261.9920000000001,500.29008519344086,91605.85056032243,0.4401537773684255,0.5858527131782947,0.5026443009688073,0.5032503178375328,302.3,384.5,213.7
hard_rep3,0.0,0.001,785.9760000000001,166.76336173114697,30535.28352010748,0.4388802314404023,0.6258720930232557,0.5159563722823658,0.5032807372564877,322.95,412.9,193.05
soft,0.0,0.001,326.76000000000005,401.12620883829106,73448.40249724567,0.4420351803570841,0.540891472868217,0.4864665126126021,0.5029708671345237,279.1,352.3,236.9
soft_rep3,0.0,0.001,980.2799999999997,133.7087362794304,24482.800832415236,0.43899131889457593,0.6257751937984496,0.5160001401562455,0.5032936786811215,322.9,412.65,193.1
spectrogram8,0.0,0.001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.0,0.001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.01,0.0,261.9920000000001,500.29008519344086,91605.85056032243,0.43815703467975486,0.6195736434108527,0.5133050614905195,0.5031814209143125,319.7,409.95,196.3
hard_rep3,0.01,0.0,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.01,0.0,326.76000000000005,401.12620883829106,73448.40249724567,0.43815703467975486,0.6195736434108527,0.5133050614905195,0.5031814209143125,319.7,409.95,196.3
soft_rep3,0.01,0.0,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.01,0.0,131072.0,1.0,183.10546875,0.4520213054174132,0.1810077519379845,0.25814980082031674,0.5047066201992001,93.4,113.75,422.6
iq12,0.01,0.0,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.01,1e-06,261.9920000000001,500.29008519344086,91605.85056032243,0.4389339136308498,0.6212209302325581,0.51440386083151,0.5032430364434789,320.55,409.75,195.45
hard_rep3,0.01,1e-06,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.01,1e-06,326.76000000000005,401.12620883829106,73448.40249724567,0.4389470692643053,0.6210271317829458,0.5143463584623938,0.5032042007877291,320.45,409.6,195.55
soft_rep3,0.01,1e-06,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.01,1e-06,131072.0,1.0,183.10546875,0.43557369336633717,0.14815891472868212,0.2208467222595484,0.5030918316781416,76.45,99.15,439.55
iq12,0.01,1e-06,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.01,1e-05,261.9920000000001,500.29008519344086,91605.85056032243,0.43831113428043605,0.6179263565891472,0.5128438915056195,0.5030752923502287,318.85,408.6,197.15
hard_rep3,0.01,1e-05,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.01,1e-05,326.76000000000005,401.12620883829106,73448.40249724567,0.43832457116036705,0.6177325581395349,0.5127865825197988,0.5030507567679167,318.75,408.45,197.25
soft_rep3,0.01,1e-05,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.01,1e-05,131072.0,1.0,183.10546875,0.40600416054234045,0.043410852713178294,0.07821806538710835,0.5006529344742401,22.4,33.1,493.6
iq12,0.01,1e-05,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.01,0.0001,261.9920000000001,500.29008519344086,91605.85056032243,0.4389386452634426,0.6153100775193798,0.5123676179924972,0.5030669693842096,317.5,405.85,198.5
hard_rep3,0.01,0.0001,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.01,0.0001,326.76000000000005,401.12620883829106,73448.40249724567,0.43866111825241544,0.6087209302325582,0.509882334315341,0.5028313751511083,314.1,401.95,201.9
