stem,width,height,n_boxes,jpeg_bits,raw_rgb_8bit_bits,semantic_box_bits,jpeg_to_semantic_ratio,raw_rgb_to_semantic_ratio
0000001_02999_d_0000005,1920,1080,127,3833896,49766400,9353,409.91083074949216,5320.902384261734
0000001_03499_d_0000006,1920,1080,77,3502840,49766400,5753,608.8718929254302,8650.512775942987
0000001_03999_d_0000007,1920,1080,48,3396408,49766400,3665,926.7143246930423,13578.826739427011
0000001_04527_d_0000008,1920,1080,115,3103592,49766400,8489,365.6016020732713,5862.45729767935
0000001_05249_d_0000009,1920,1080,113,3048688,49766400,8345,365.3310964649491,5963.61893349311
0000001_05499_d_0000010,1920,1080,140,3104104,49766400,10289,301.6915152104189,4836.8548935756635
0000001_05999_d_0000011,1920,1080,115,3006416,49766400,8489,354.1543173518671,5862.45729767935
0000001_07999_d_0000012,1920,1080,136,3473416,49766400,10001,347.3068693130687,4976.142385761424
0000001_08414_d_0000013,1920,1080,164,2981648,49766400,12017,248.11916451693435,4141.333111425481
0000021_00000_d_0000001,960,540,31,640152,12441600,2441,262.24989758295783,5096.927488734125
0000021_00500_d_0000002,960,540,17,679416,12441600,1433,474.12142358688067,8682.205163991626
0000021_00800_d_0000003,960,540,7,739048,12441600,713,1036.5329593267882,17449.649368863957
0000022_00000_d_0000004,960,540,42,657144,12441600,3233,203.2613671512527,3848.3142592019794
0000022_00500_d_0000005,960,540,32,577024,12441600,2513,229.61559888579387,4950.895344210107
0000022_01036_d_0000006,960,540,16,523976,12441600,1361,384.9933872152829,9141.513592946363
0000022_01251_d_0000007,960,540,12,590216,12441600,1073,550.0615097856477,11595.15377446412
0000023_00000_d_0000008,960,540,40,657144,12441600,3089,212.73680802848818,4027.71123340887
0000023_00300_d_0000009,960,540,30,623504,12441600,2369,263.19290840016885,5251.836217813423
0000023_00868_d_0000010,960,540,20,560824,12441600,1649,340.0994542146756,7544.936325045482
0000023_01233_d_0000011,960,540,14,536120,12441600,1217,440.52588331963847,10223.171733771569
0000024_00000_d_0000012,960,540,21,714408,12441600,1721,415.11214410226614,7229.285299244625
0000024_00500_d_0000013,960,540,10,598304,12441600,929,644.0301399354145,13392.465016146394
0000024_01000_d_0000014,960,540,12,701960,12441600,1073,654.2031686859273,11595.15377446412
0000024_01543_d_0000015,960,540,8,907352,12441600,785,1155.8624203821655,15849.171974522293
0000026_00000_d_0000024,1360,765,8,1462352,24969600,785,1862.8687898089172,31808.4076433121
0000026_00500_d_0000025,1360,765,15,1203216,24969600,1289,933.4491854150505,19371.295577967416
0000026_01000_d_0000026,1360,765,25,1049400,24969600,2009,522.3494275759084,12428.870084619213
0000026_01500_d_0000027,1360,765,10,1351688,24969600,929,1454.9924650161463,26877.933261571583
0000026_02000_d_0000028,1360,765,9,1290224,24969600,857,1505.512252042007,29136.05600933489
0000026_02500_d_0000029,1360,765,17,1337600,24969600,1433,933.4263782274948,17424.70341939986
0000026_03000_d_0000030,1360,765,13,1256408,24969600,1145,1097.2995633187772,21807.510917030566
0000026_03500_d_0000031,1360,765,23,1276664,24969600,1865,684.5383378016086,13388.5254691689
0000026_04000_d_0000032,1360,765,14,1156456,24969600,1217,950.2514379622021,20517.33771569433
