stem,n_truth,n_pred,tp,fp,fn,pred_semantic_bits,truth_semantic_bits,jpeg_bits,jpeg_to_pred_semantic_ratio,mean_pred_score
0000001_02999_d_0000005,108,41,0,41,108,3161,7985,3833896,1212.8744068332805,0.12627743884194187
0000001_03499_d_0000006,73,23,3,20,70,1865,5465,3502840,1878.1983914209115,0.16682881230245467
0000001_03999_d_0000007,47,21,3,18,44,1721,3593,3396408,1973.508425334108,0.12469500391965821
0000001_04527_d_0000008,112,49,1,48,111,3737,8273,3103592,830.5036125234145,0.1363764437181609
0000001_05249_d_0000009,113,59,7,52,106,4457,8345,3048688,684.0224366165583,0.15829796198818644
0000001_05499_d_0000010,128,79,16,63,112,5897,9425,3104104,526.3869764286926,0.20201757210719434
0000001_05999_d_0000011,112,77,15,62,97,5753,8273,3006416,522.5823048844081,0.221505501295452
0000001_07999_d_0000012,127,53,0,53,127,4025,9353,3473416,862.96049689441,0.12255494099742961
0000001_08414_d_0000013,155,82,5,77,150,6113,11369,2981648,487.75527564207425,0.13940626078444282
0000021_00000_d_0000001,28,38,4,34,24,2945,2225,640152,217.36910016977927,0.2547061142364615
0000021_00500_d_0000002,13,38,3,35,10,2945,1145,679416,230.70152801358233,0.19549171312859184
0000021_00800_d_0000003,5,10,0,10,5,929,569,739048,795.5306781485468,0.18695467598736287
0000022_00000_d_0000004,41,52,7,45,34,3953,3161,657144,166.23931191500125,0.1692731366134607
0000022_00500_d_0000005,32,37,7,30,25,2873,2513,577024,200.84371736860425,0.17800496689773895
0000022_01036_d_0000006,16,34,6,28,10,2657,1361,523976,197.20587128340233,0.27698787104557543
0000022_01251_d_0000007,12,34,8,26,4,2657,1073,590216,222.1362438840798,0.2501898096764789
0000023_00000_d_0000008,38,52,6,46,32,3953,2945,657144,166.23931191500125,0.1692731366134607
0000023_00300_d_0000009,29,31,3,28,26,2441,2297,623504,255.42974190905366,0.1773344834725703
0000023_00868_d_0000010,19,38,8,30,11,2945,1577,560824,190.43259762308998,0.26758178068619026
0000023_01233_d_0000011,14,26,8,18,6,2081,1217,536120,257.6261412782316,0.3541250859315579
0000024_00000_d_0000012,21,39,13,26,8,3017,1721,714408,236.79416639045408,0.2844463658447449
0000024_00500_d_0000013,10,24,4,20,6,1937,929,598304,308.88177594217865,0.26170850777998567
0000024_01000_d_0000014,11,23,2,21,9,1865,1001,701960,376.38605898123325,0.22055961855727693
0000024_01543_d_0000015,8,16,4,12,4,1361,785,907352,666.6803820720058,0.24283636175096035
0000026_00000_d_0000024,8,18,5,13,3,1505,785,1462352,971.6624584717608,0.3178897404836284
0000026_00500_d_0000025,15,20,7,13,8,1649,1289,1203216,729.6640388114008,0.1938310282304883
0000026_01000_d_0000026,25,41,15,26,10,3161,2009,1049400,331.98354950964887,0.28511237643840837
0000026_01500_d_0000027,10,26,9,17,1,2081,929,1351688,649.5377222489188,0.32826907746493816
0000026_02000_d_0000028,9,22,9,13,0,1793,857,1290224,719.5895147796988,0.26435072025792167
0000026_02500_d_0000029,17,25,7,18,10,2009,1433,1337600,665.8038825286212,0.2628090798854828
0000026_03000_d_0000030,12,17,8,9,4,1433,1073,1256408,876.7676203768318,0.20437360598760493
0000026_03500_d_0000031,23,33,13,20,10,2585,1865,1276664,493.8738878143133,0.1797981486853325
0000026_04000_d_0000032,14,20,8,12,6,1649,1217,1156456,701.3074590661007,0.21680765580385924
0000026_04500_d_0000033,46,57,8,49,38,4313,3521,1553968,360.2986320426617,0.1789830281938377
0000026_04978_d_0000034,44,44,10,34,34,3377,3377,1329880,393.8051525022209,0.1793277237394994
0000055_00000_d_0000109,98,49,13,36,85,3737,7265,532984,142.62349478191064,0.2590273367811222
0000055_00714_d_0000110,85,63,15,48,70,4745,6329,270400,56.986301369863014,0.1976618751410454
0000069_00001_d_0000001,34,32,15,17,19,2513,2657,1094112,435.3808197373657,0.3761177392443642
0000069_00483_d_0000002,27,33,14,19,13,2585,2153,784888,303.63172147001933,0.3610441463463234
0000069_00713_d_0000003,49,32,14,18,35,2513,3737,782328,311.31237564663746,0.39184874668717384
0000069_01109_d_0000004,31,46,6,40,25,3521,2441,777176,220.7259301334848,0.2392276366767676
0000069_01878_d_0000005,36,50,19,31,17,3809,2801,806792,211.8120241533211,0.354599584788084
0000069_02163_d_0000006,48,35,8,27,40,2729,3665,1564072,573.130084279956,0.3012909274016108
0000069_02480_d_0000007,64,34,9,25,55,2657,4817,2048776,771.0861874294317,0.25613017172059593
0000072_02834_d_0000003,73,60,12,48,61,4529,5465,701576,154.90748509604768,0.21393943143387636
0000076_02142_d_0000009,11,32,4,28,7,2513,1001,967576,385.02825308396336,0.17480974830687046
0000081_00000_d_0000001,86,61,9,52,77,4601,6401,666960,144.9597913497066,0.16512728714552083
0000086_00000_d_0000001,37,49,11,38,26,3737,2873,753584,201.65480331816966,0.27467955823759643
0000086_00592_d_0000002,65,52,8,44,57,3953,4889,720568,182.28383506197824,0.21370510620853075
0000086_01084_d_0000003,146,45,8,37,138,3449,10721,638304,185.06929544795594,0.22415889542963768
0000086_01443_d_0000004,107,47,6,41,101,3593,7913,781416,217.48288338435847,0.20348359477963854
0000086_01954_d_0000005,173,57,5,52,168,4313,12665,738136,171.1421284488755,0.21661669179274326
0000103_00180_d_0000026,1,3,1,2,0,425,281,700144,1647.3976470588236,0.369200865427653
