visual_source,spectrum_scheme,packet_loss,clean_rate,policy,frames,mean_bits_per_frame,mean_utility,semantic_score,priority_detail_score,mean_visual_semantic_quality,mean_pred_boxes,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio
yolo_predictions,random,0.0,0.6965999999999999,semantic_only,548,1769.8759124087592,0.4321978886016093,0.2511396332864083,0.0,0.25218038079622923,21.67883211678832,0.0,1.0,0.0,0.0,0.0
yolo_predictions,random,0.0,0.6965999999999999,spectrum_rule,548,1677.4671532846714,0.4387591464407115,0.24967170334558852,0.0,0.25218038079622923,21.67883211678832,0.26824817518248173,0.7317518248175182,0.0,0.0,0.0
yolo_predictions,random,0.0,0.6965999999999999,dqn,548,43203.08184657468,0.9282791534113048,0.23056387794274297,0.20750719436825257,0.25218038079622923,21.67883211678832,0.0,0.0,0.1989051094890511,0.801094890510949,0.0
yolo_predictions,random,0.0,0.6965999999999999,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.25218038079622923,21.67883211678832,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
yolo_predictions,semantic_hard_rep3,0.0,0.923,semantic_only,548,1769.8759124087592,0.4321978886016093,0.2511396332864083,0.0,0.25218038079622923,21.67883211678832,0.0,1.0,0.0,0.0,0.0
yolo_predictions,semantic_hard_rep3,0.0,0.923,spectrum_rule,548,35846.64674440255,0.8688934648719973,0.23311340175223683,0.1857035596829843,0.25218038079622923,21.67883211678832,0.0,0.26824817518248173,0.020072992700729927,0.7116788321167883,0.0
yolo_predictions,semantic_hard_rep3,0.0,0.923,dqn,548,43167.097620179564,0.9283617921961522,0.2306022815969281,0.20751662819860967,0.25218038079622923,21.67883211678832,0.0,0.0,0.21350364963503649,0.7864963503649635,0.0
yolo_predictions,semantic_hard_rep3,0.0,0.923,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.25218038079622923,21.67883211678832,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
yolo_predictions,spectrogram8_partial,0.0,0.9038,semantic_only,548,1769.8759124087592,0.4321978886016093,0.2511396332864083,0.0,0.25218038079622923,21.67883211678832,0.0,1.0,0.0,0.0,0.0
yolo_predictions,spectrogram8_partial,0.0,0.9038,spectrum_rule,548,35846.64674440255,0.8688934648719973,0.23311340175223683,0.1857035596829843,0.25218038079622923,21.67883211678832,0.0,0.26824817518248173,0.020072992700729927,0.7116788321167883,0.0
yolo_predictions,spectrogram8_partial,0.0,0.9038,dqn,548,43221.99701160326,0.9282635896384195,0.23057861840862326,0.2074929650103048,0.25218038079622923,21.67883211678832,0.0,0.0,0.20802919708029197,0.791970802919708,0.0
yolo_predictions,spectrogram8_partial,0.0,0.9038,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.25218038079622923,21.67883211678832,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
yolo_predictions,random,0.05,0.6956,semantic_only,548,1769.8759124087592,0.4097834876807274,0.23842099691962085,0.0,0.25218038079622923,21.67883211678832,0.0,1.0,0.0,0.0,0.0
yolo_predictions,random,0.05,0.6956,spectrum_rule,548,1677.4671532846714,0.4162108797203092,0.2369830670630016,0.0,0.25218038079622923,21.67883211678832,0.26824817518248173,0.7317518248175182,0.0,0.0,0.0
yolo_predictions,random,0.05,0.6956,dqn,548,10458.518848346574,0.44369457689763303,0.2004663441953793,0.038926427419423475,0.25218038079622923,21.67883211678832,0.0,0.6259124087591241,0.1624087591240876,0.2116788321167883,0.0
yolo_predictions,random,0.05,0.6956,oracle_policy,548,16782.05760027525,1.69226277400381,0.7174568087138661,0.16963560996954,0.25218038079622923,21.67883211678832,0.0,0.6040145985401459,0.07664233576642336,0.3193430656934307,0.0
yolo_predictions,semantic_hard_rep3,0.05,0.931,semantic_only,548,1769.8759124087592,0.4206292365532298,0.2445764961526494,0.0,0.25218038079622923,21.67883211678832,0.0,1.0,0.0,0.0,0.0
yolo_predictions,semantic_hard_rep3,0.05,0.931,spectrum_rule,548,31617.51019906395,0.5604023906318907,0.1671089753842477,0.11052555669614814,0.25218038079622923,21.67883211678832,0.0,0.32116788321167883,0.01824817518248175,0.6605839416058394,0.0
yolo_predictions,semantic_hard_rep3,0.05,0.931,dqn,548,35351.8980260262,0.58640064086158,0.1597040815472636,0.12244479192449412,0.25218038079622923,21.67883211678832,0.0,0.10583941605839416,0.1989051094890511,0.6952554744525548,0.0
yolo_predictions,semantic_hard_rep3,0.05,0.931,oracle_policy,548,45888.94862861008,2.307716157727227,0.5806835505509126,0.5046620157703515,0.25218038079622923,21.67883211678832,0.0,0.043795620437956206,0.09671532846715329,0.8594890510948905,0.0
yolo_predictions,spectrogram8_partial,0.05,0.899,semantic_only,548,1769.8759124087592,0.4191407148159464,0.24373183091217074,0.0,0.25218038079622923,21.67883211678832,0.0,1.0,0.0,0.0,0.0
yolo_predictions,spectrogram8_partial,0.05,0.899,spectrum_rule,548,1769.8759124087592,0.4191407148159464,0.24373183091217074,0.0,0.25218038079622923,21.67883211678832,0.0,1.0,0.0,0.0,0.0
yolo_predictions,spectrogram8_partial,0.05,0.899,dqn,548,33036.908610974584,0.5553214244748819,0.15709723434204184,0.11172840101648339,0.25218038079622923,21.67883211678832,0.0,0.1478102189781022,0.1989051094890511,0.6532846715328468,0.0
yolo_predictions,spectrogram8_partial,0.05,0.899,oracle_policy,548,43089.068336639284,2.1750860640714103,0.5715777738722516,0.4592308802003328,0.25218038079622923,21.67883211678832,0.0,0.08576642335766424,0.09671532846715329,0.8175182481751825,0.0
yolo_predictions,random,0.1,0.6952,semantic_only,548,1769.8759124087592,0.38832814501631585,0.22623653448028572,0.0,0.25218038079622923,21.67883211678832,0.0,1.0,0.0,0.0,0.0
yolo_predictions,random,0.1,0.6952,spectrum_rule,548,1677.4671532846714,0.39462144855063835,0.22482865461748497,0.0,0.25218038079622923,21.67883211678832,0.26824817518248173,0.7317518248175182,0.0,0.0,0.0
yolo_predictions,random,0.1,0.6952,dqn,548,2494.9848532681413,0.39184579147952475,0.22333357677335,0.003131842375543769,0.25218038079622923,21.67883211678832,0.0,0.8996350364963503,0.10036496350364964,0.0,0.0
