scheme,seed,frames,precision,recall,f1,mean_iou,tp,fp,fn,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,ebn0_db
hard_semantic,28260711,100,0.48717948717948717,0.35185185185185186,0.40860215053763443,0.4785472625180295,19,20,35,0.88,0.004191583022475243,0.006829860154539347,0.84,4460.96,0.00287056,0.55,0.0,3.0
hard_semantic,28261711,100,0.5882352941176471,0.37037037037037035,0.45454545454545453,0.4560771927237511,20,14,34,0.76,0.007281831465661526,0.009920109063386917,0.6,4585.84,0.0028296799999999993,0.55,0.0,3.0
hard_semantic,28262711,100,0.4666666666666667,0.3888888888888889,0.42424242424242425,0.45602352420488995,21,24,33,0.76,0.008334679529070854,0.01097295805811882,0.72,4402.16,0.0028221199999999996,0.68,0.0,3.0
hard_semantic,28263711,100,0.4838709677419355,0.2777777777777778,0.35294117647058826,0.4352380931377411,15,16,39,0.76,0.007848160341382027,0.010486437939107418,0.64,4606.0,0.00289576,0.53,0.0,3.0
hard_semantic,28264711,100,0.6136363636363636,0.5,0.5510204081632653,0.45237598926932726,27,17,27,0.92,0.0014396780170500278,0.004077955614775419,0.76,4211.2,0.0028756,0.68,0.0,3.0
quantized_psd_4bit,28270711,,,,,,,,,0.64,0.012639313004910946,0.015277589671313763,0.52,3708.32,0.002702,0.7,0.0,3.0
quantized_psd_4bit,28271711,,,,,,,,,0.68,0.010317010805010796,0.012955287471413612,0.6,3732.4,0.002702,0.72,0.0,3.0
quantized_psd_4bit,28272711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,3900.96,0.0026479599999999996,0.6,0.0,3.0
quantized_psd_4bit,28273711,,,,,,,,,0.64,0.012011485174298286,0.014649762772023678,0.56,3852.8,0.002702,0.67,0.0,3.0
quantized_psd_4bit,28274711,,,,,,,,,0.6,0.015246965922415257,0.017885243520140648,0.52,3900.96,0.002702,0.57,0.0,3.0
quantized_psd_8bit,28280711,,,,,,,,,0.56,0.020266840234398842,0.02290511690080166,0.4,4032.0,0.00273,0.63,0.0,3.0
quantized_psd_8bit,28281711,,,,,,,,,0.6,0.019719954580068588,0.022358231246471405,0.44,4132.8,0.00273,0.54,0.0,3.0
quantized_psd_8bit,28282711,,,,,,,,,0.56,0.019544627517461777,0.022182904183864594,0.4,4032.0,0.0026753999999999997,0.62,0.0,3.0
quantized_psd_8bit,28283711,,,,,,,,,0.56,0.020416464656591415,0.02305474318563938,0.36,3906.0,0.00273,0.69,0.0,3.0
quantized_psd_8bit,28284711,,,,,,,,,0.56,0.020369011908769608,0.023007288575172424,0.32,3981.6,0.0026753999999999997,0.69,0.0,3.0
spectrogram_tile16,28290711,,,,0.0,,,,,0.56,0.016786804422736168,0.019425082951784134,0.4,848980.16,0.24963120000000003,0.0040625,1.0,3.0
spectrogram_tile16,28291711,,,,0.0,,,,,0.52,0.02010243572294712,0.022740712389349937,0.28,848910.72,0.24963344000000004,0.0040625,1.0,3.0
spectrogram_tile16,28292711,,,,0.0,,,,,0.6,0.01652461290359497,0.019162891432642937,0.36,848910.72,0.24966816000000006,0.0040625,1.0,3.0
spectrogram_tile16,28293711,,,,0.0,,,,,0.6,0.01816995069384575,0.020808229222893715,0.32,848732.64,0.24967824000000005,0.00421875,1.0,3.0
spectrogram_tile16,28294711,,,,0.0,,,,,0.6,0.01767742447555065,0.02031569927930832,0.32,848663.2,0.24964352,0.004375,1.0,3.0
hard_semantic,28360711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,6.0
hard_semantic,28361711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,6.0
hard_semantic,28362711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2778.16,0.00160328,1.0,0.0,6.0
hard_semantic,28363711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2780.4,0.00158004,1.0,0.0,6.0
hard_semantic,28364711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,6.0
quantized_psd_4bit,28370711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2456.16,0.00140504,1.0,0.0,6.0
quantized_psd_4bit,28371711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2432.08,0.0014050400000000002,1.0,0.0,6.0
quantized_psd_4bit,28372711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2408.0,0.001351,1.0,0.0,6.0
quantized_psd_4bit,28373711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2456.16,0.0014590800000000002,1.0,0.0,6.0
