scheme,seed,frames,precision,recall,f1,mean_iou,tp,fp,fn,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,condition
hard_semantic,70260711,20001,0.4426443689574079,0.3385630058958729,0.3836702338485929,0.49688948705845204,3388,4266,6619,0.84,0.006207596976310015,0.010307049378752708,0.7228,4337.7712,0.0028194319999999998,0.6143692815359232,0.0,awgn_3dB_250ms
hard_semantic,70261711,20001,0.4407117248705351,0.3316678325172379,0.3784924164671,0.499155250989949,3319,4212,6688,0.8434,0.005828273948282003,0.009927727282047272,0.7272,4335.0664,0.0028234234,0.6134693265336734,0.0,awgn_3dB_250ms
hard_semantic,70262711,20001,0.44751895703073036,0.3361646847206955,0.3839306094498972,0.49590193631745405,3364,4153,6643,0.838,0.00615073274821043,0.010250186547636986,0.721,4334.7668,0.0028227317999999996,0.6116194190290486,0.0,awgn_3dB_250ms
selected_strong_psd,70270711,,,,,,,,,0.705,0.015014802105724812,0.019114257767796516,0.4694,3600.128,0.0026317508,0.67725,0.0,awgn_3dB_250ms
selected_strong_psd,70271711,,,,,,,,,0.7046,0.01502014510333538,0.01911959983408451,0.4718,3598.5208,0.0026309485999999995,0.6779,0.0,awgn_3dB_250ms
selected_strong_psd,70272711,,,,,,,,,0.7048,0.015122425742447376,0.01922188140451908,0.4684,3595.8804,0.0026290767999999996,0.67855,0.0,awgn_3dB_250ms
hard_semantic,70360711,20001,0.4091802718181041,0.47836514439892075,0.44107620012899657,0.4955943754627283,4787,6912,5220,0.8938,0.0028448791708797216,0.006944332737475634,0.837,3785.614,0.0026586853999999997,0.8197590120493975,0.0,rayleigh_6dB_250ms
hard_semantic,70361711,20001,0.4120441051738762,0.4854601778754872,0.44574941505711796,0.49423940520857823,4858,6932,5149,0.8908,0.0028539320919662714,0.006953386124223471,0.8364,3791.9952,0.0026624822,0.8191590420478976,0.0,rayleigh_6dB_250ms
hard_semantic,70362711,20001,0.4152607036880034,0.48945737983411614,0.4493165764608751,0.49605319342621984,4898,6897,5109,0.891,0.0029303417541086674,0.007029795087873936,0.84,3787.2856,0.0026587708,0.8209589520523973,0.0,rayleigh_6dB_250ms
selected_strong_psd,70370711,,,,,,,,,0.706,0.014901493676006794,0.0190009456127882,0.4706,3235.638,0.0025154317999999997,0.82915,0.0,rayleigh_6dB_250ms
selected_strong_psd,70371711,,,,,,,,,0.7052,0.014948895201086998,0.01904834806919098,0.4708,3238.9672,0.002514897,0.8291,0.0,rayleigh_6dB_250ms
selected_strong_psd,70372711,,,,,,,,,0.7068,0.014945684932172298,0.019045138731598854,0.4716,3238.8524,0.0025119555999999995,0.83025,0.0,rayleigh_6dB_250ms
hard_semantic,70460711,20001,0.4096563981042654,0.5528130308783852,0.4705882352941177,0.49410223014873605,5532,7972,4475,0.9116,0.001676058629527688,0.005775512661784887,0.8876,3365.2948,0.0023925117999999998,0.9326033698315084,0.0,rician_6dB_250ms
hard_semantic,70461711,20001,0.4103095837653681,0.5536124712701109,0.4713088604364286,0.49518106918149907,5540,7962,4467,0.915,0.001495074131526053,0.005594528280198574,0.8898,3368.722,0.0023948231999999996,0.9332533373331333,0.0,rician_6dB_250ms
hard_semantic,70462711,20001,0.41075939961361274,0.5524133106825222,0.4711698274025144,0.49469413877870516,5528,7930,4479,0.915,0.0014995165402069688,0.005598970223218203,0.8874,3368.568,0.0023958073999999995,0.9325533723313835,0.0,rician_6dB_250ms
selected_strong_psd,70470711,,,,,,,,,0.7076,0.014908315613865852,0.019007770344614983,0.4708,2874.9364,0.0022560538000000003,0.9383,0.0,rician_6dB_250ms
selected_strong_psd,70471711,,,,,,,,,0.7064,0.014924118295311928,0.01902357116341591,0.4692,2874.018,0.002256856,0.9378,0.0,rician_6dB_250ms
selected_strong_psd,70472711,,,,,,,,,0.7054,0.01505003310739994,0.01914948783814907,0.4686,2873.5588,0.0022533797999999996,0.937,0.0,rician_6dB_250ms
hard_semantic,70560711,20001,0.4084585420144686,0.5867892475267313,0.48164704917360457,0.49464097119644485,5872,8504,4135,0.9262,0.0008252227562479675,0.004924676846712828,0.9116,2744.042,0.0015953713999999999,0.9850507474626269,0.0,burst_6dB_25ms
hard_semantic,70561711,20001,0.4102367688022284,0.58868791845708,0.48352279722575614,0.49515036899394727,5891,8469,4116,0.9264,0.0007902411743998528,0.004889694973826408,0.9124,2746.394,0.0015972249999999999,0.9850007499625019,0.0,burst_6dB_25ms
hard_semantic,70562711,20001,0.41006140106056377,0.5872888977715599,0.48292863305805495,0.49474176777165746,5877,8455,4130,0.9246,0.0009308760636486113,0.005030329804867506,0.9124,2745.2992,0.0015952943999999998,0.9853007349632519,0.0,burst_6dB_25ms
selected_strong_psd,70570711,,,,,,,,,0.7058,0.014966030605137348,0.019065484404563904,0.4692,2357.418,0.0014728391999999997,0.98615,0.0,burst_6dB_25ms
selected_strong_psd,70571711,,,,,,,,,0.7054,0.015002721920609474,0.019102176651358604,0.469,2357.5328,0.0014736413999999998,0.98605,0.0,burst_6dB_25ms
selected_strong_psd,70572711,,,,,,,,,0.7054,0.015011779963970184,0.019111232832074165,0.469,2358.3364,0.0014755131999999998,0.98595,0.0,burst_6dB_25ms
