source,application_bits,ebn0_db,repeat_count,payload_delivery_ratio_mean,payload_delivery_ratio_std,payload_delivery_ratio_ci95_low,payload_delivery_ratio_ci95_high,packet_delivery_ratio_mean,packet_delivery_ratio_std,packet_delivery_ratio_ci95_low,packet_delivery_ratio_ci95_high,frame_success_mean,frame_success_std,frame_success_ci95_low,frame_success_ci95_high,transmitted_bits_mean,transmitted_bits_std,transmitted_bits_ci95_low,transmitted_bits_ci95_high,goodput_bps_mean,goodput_bps_std,goodput_bps_ci95_low,goodput_bps_ci95_high,duration_s_mean,duration_s_std,duration_s_ci95_low,duration_s_ci95_high,attempts_mean,attempts_std,attempts_ci95_low,attempts_ci95_high,retransmissions_mean,retransmissions_std,retransmissions_ci95_low,retransmissions_ci95_high,crc_failures_mean,crc_failures_std,crc_failures_ci95_low,crc_failures_ci95_high,latency_budget_exhausted_mean,latency_budget_exhausted_std,latency_budget_exhausted_ci95_low,latency_budget_exhausted_ci95_high,mean_tx_over_application
compressed_spectrogram_png,116541,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,0.0,0.0,0.0,0.0,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,61.0,0.0,61.0,61.0,122.0,0.0,122.0,122.0,1.0,0.0,1.0,1.0,2.0811216653366627
hard_semantic,262,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.0,0.0,1316.0,1316.0,0.0,0.0,0.0,0.0,0.0027579999999999987,8.821895084505784e-19,0.0027579999999999983,0.002757999999999999,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.022900763358779
iq_int12_complex,24000000,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,0.0,0.0,0.0,0.0,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,61.0,0.0,61.0,61.0,122.0,0.0,122.0,122.0,1.0,0.0,1.0,1.0,0.010105666666666667
quantized_soft_semantic,327,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.0,0.0,1540.0,1540.0,0.0,0.0,0.0,0.0,0.0028699999999999993,4.410947542252892e-19,0.0028699999999999993,0.0028699999999999993,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.709480122324159
spectrogram_uint8,131072,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,0.0,0.0,0.0,0.0,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,61.0,0.0,61.0,61.0,122.0,0.0,122.0,122.0,1.0,0.0,1.0,1.0,1.85040283203125
compressed_spectrogram_png,116541,3.0,30,0.0527196437305326,0.023418324930553253,0.04433950377921218,0.06109978368185302,0.052631578947368425,0.023379206120919052,0.04426543748229482,0.06099772041244203,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,24638.285585961356,10944.44758642493,20721.865315249655,28554.705856673056,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,59.266666666666666,0.9444331755018488,58.92870559520465,59.604627738128684,116.0,2.665229497784772,115.04625987298161,116.95374012701839,1.0,0.0,1.0,1.0,2.0811216653366627
hard_semantic,262,3.0,30,0.6333333333333333,0.4901325178535609,0.4579416643524701,0.8087250023141965,0.6333333333333333,0.4901325178535609,0.4579416643524701,0.8087250023141965,0.6333333333333333,0.4901325178535609,0.4579416643524701,0.8087250023141965,987.0,334.6243390368699,867.2562181299099,1106.74378187009,107662.55740875033,89021.33081988772,75806.68329581786,139518.43152168283,0.002068499999999999,0.0007012871786198229,0.0018175476060807677,0.0023194523939192306,1.5,0.5085476277156078,1.3180185685864891,1.6819814314135109,0.5,0.5085476277156078,0.31801856858648914,0.6819814314135109,0.8666666666666667,0.9371024061116424,0.5313288773404539,1.2020044559928795,0.0,0.0,0.0,0.0,3.767175572519084
iq_int12_complex,24000000,3.0,30,0.0002858666666666666,0.00012075755769086919,0.00024265412962013987,0.00032907920371319337,0.00028586056830787605,0.0001207549815845954,0.0002426489531091402,0.0003290721835066119,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,27512.752237656845,11622.106222854844,23353.834938257387,31671.669537056303,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,58.86666666666667,1.0416609195243756,58.49391309384188,59.23942023949145,115.3,2.8302552583797467,114.28720616297203,116.31279383702797,1.0,0.0,1.0,1.0,0.010105666666666667
quantized_soft_semantic,327,3.0,30,0.7,0.466091599699399,0.5332112630942344,0.8667887369057655,0.7,0.466091599699399,0.5332112630942344,0.8667887369057655,0.7,0.466091599699399,0.5332112630942344,0.8667887369057655,1180.6666666666667,390.71052282179215,1040.8527016879668,1320.4806316453667,132926.8292682927,99613.23682697122,97280.6902686182,168572.9682679672,0.0022003333333333332,0.0007281423379860671,0.001939770944054847,0.0024608957226118196,1.5333333333333334,0.507416263404925,1.3517567554389178,1.714909911227749,0.5333333333333333,0.507416263404925,0.3517567554389178,0.7149099112277488,0.8333333333333334,0.8742813140471171,0.5204757830915421,1.1461908835751247,0.0,0.0,0.0,0.0,3.610601427115189
spectrogram_uint8,131072,3.0,30,0.04895833333333333,0.021314925747617248,0.04133088511290181,0.056585781553764855,0.04895833333333333,0.021314925747617248,0.04133088511290181,0.056585781553764855,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,25733.320500892973,11203.482193351567,21724.205886554315,29742.43511523163,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,58.96666666666667,1.0661996103898193,58.5851320360897,59.348201297243634,115.73333333333333,2.7283104956950086,114.7570199611181,116.70964670554856,1.0,0.0,1.0,1.0,1.85040283203125
