latency_budget_s,scheme,repeat_count,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,clean_resource_rate_mean,clean_resource_rate_std,clean_resource_rate_ci95_low,clean_resource_rate_ci95_high,mean_occupancy_regret_mean,mean_occupancy_regret_std,mean_occupancy_regret_ci95_low,mean_occupancy_regret_ci95_high,mean_transmitted_bits_mean,mean_transmitted_bits_std,mean_transmitted_bits_ci95_low,mean_transmitted_bits_ci95_high,mean_link_latency_s_mean,mean_link_latency_s_std,mean_link_latency_s_ci95_low,mean_link_latency_s_ci95_high,mean_payload_delivery_ratio_mean,mean_payload_delivery_ratio_std,mean_payload_delivery_ratio_ci95_low,mean_payload_delivery_ratio_ci95_high,latency_budget_exhaustion_rate_mean,latency_budget_exhaustion_rate_std,latency_budget_exhaustion_rate_ci95_low,latency_budget_exhaustion_rate_ci95_high
0.005,compressed_spectrogram_png,3,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.013572677038609982,0.0,0.013572677038609982,0.013572677038609982,15904.0,0.0,15904.0,15904.0,0.004088,0.0,0.004088,0.004088,0.017019527845156285,0.00010218863993771654,0.016903890513155006,0.017135165177157564,1.0,0.0,1.0,1.0
0.005,hard_semantic,3,0.5441176470588235,0.0,0.5441176470588235,0.5441176470588235,0.96,0.0,0.96,0.96,5.1495804655132815e-05,0.0,5.1495804655132815e-05,5.1495804655132815e-05,2743.2533333333336,29.42176971790309,2709.959466666667,2776.5472,0.0015275866666666666,5.823887819432425e-05,0.0014616831719411886,0.0015934901613921446,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.005,spectrogram_uint8_fragment,3,0.0,0.0,0.0,0.0,0.7200000000000001,1.3597399555105182e-16,0.72,0.7200000000000002,0.013615285977721214,0.0,0.013615285977721214,0.013615285977721214,15904.0,0.0,15904.0,15904.0,0.004088,0.0,0.004088,0.004088,0.015104166666666667,0.000274365983147207,0.014793692329182696,0.015414641004150638,1.0,0.0,1.0,1.0
0.025,compressed_spectrogram_png,3,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.013572677038609982,0.0,0.013572677038609982,0.013572677038609982,95424.0,0.0,95424.0,95424.0,0.024528000000000005,0.0,0.024528000000000005,0.024528000000000005,0.10194847587258656,0.0009554252437215542,0.10086731043014628,0.10302964131502683,1.0,0.0,1.0,1.0
0.025,hard_semantic,3,0.5441176470588235,0.0,0.5441176470588235,0.5441176470588235,0.96,0.0,0.96,0.96,5.1495804655132815e-05,0.0,5.1495804655132815e-05,5.1495804655132815e-05,2727.9466666666667,16.165807537309522,2709.653333333333,2746.2400000000002,0.0014978133333333331,3.233161507461895e-05,0.0014612266666666665,0.0015343999999999998,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.025,spectrogram_uint8_fragment,3,0.0,0.0,0.0,0.0,0.7200000000000001,1.3597399555105182e-16,0.72,0.7200000000000002,0.013615285977721214,0.0,0.013615285977721214,0.013615285977721214,95424.0,0.0,95424.0,95424.0,0.024528000000000005,0.0,0.024528000000000005,0.024528000000000005,0.09041666666666666,0.00023867581744561916,0.09014657955366215,0.09068675377967117,1.0,0.0,1.0,1.0
0.1,compressed_spectrogram_png,3,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.013572677038609982,0.0,0.013572677038609982,0.013572677038609982,381696.0,0.0,381696.0,381696.0,0.09811200000000003,0.0,0.09811200000000003,0.09811200000000003,0.4072932846135529,0.0010386978534189227,0.40611788734240784,0.408468681884698,1.0,0.0,1.0,1.0
0.1,hard_semantic,3,0.5441176470588235,0.0,0.5441176470588235,0.5441176470588235,0.96,0.0,0.96,0.96,5.1495804655132815e-05,0.0,5.1495804655132815e-05,5.1495804655132815e-05,2750.9066666666663,37.8335160054325,2708.0940129924184,2793.7193203409142,0.0015309466666666666,6.10389296542243e-05,0.001461874615431517,0.001600018717901816,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.1,spectrogram_uint8_fragment,3,0.028023848159224967,0.00020688588214116496,0.02778973474452333,0.028257961573926606,0.6,0.0,0.6,0.6,0.017134536057710648,0.0,0.017134536057710648,0.017134536057710648,381696.0,0.0,381696.0,381696.0,0.09811200000000003,0.0,0.09811200000000003,0.09811200000000003,0.36328125,0.0011267347735824725,0.362006229575327,0.364556270424673,1.0,0.0,1.0,1.0
0.25,compressed_spectrogram_png,3,0.5387443710763907,0.021844299298228113,0.5140252193994128,0.5634635227533686,0.9066666666666667,0.023094010767585053,0.8805333333333334,0.9328000000000001,0.002368762313077847,0.0015865363162548163,0.0005734274613109296,0.004164097164844765,920646.16,962.5419379954255,919556.9412598644,921735.3787401357,0.2447966266666662,0.0007483092765249765,0.24394983500467818,0.24564341832865424,0.9794008768970572,0.0005052409267221992,0.9788291429663618,0.9799726108277527,0.14333333333333334,0.02081665999466133,0.11977706500030194,0.16688960166636474
