scheme,ebn0_db,repeat_count,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,mean_iou_mean,mean_iou_std,mean_iou_ci95_low,mean_iou_ci95_high,clean_resource_rate_mean,clean_resource_rate_std,clean_resource_rate_ci95_low,clean_resource_rate_ci95_high,mean_occupancy_regret_mean,mean_occupancy_regret_std,mean_occupancy_regret_ci95_low,mean_occupancy_regret_ci95_high,mean_selected_occupancy_mean,mean_selected_occupancy_std,mean_selected_occupancy_ci95_low,mean_selected_occupancy_ci95_high,oracle_equivalent_rate_mean,oracle_equivalent_rate_std,oracle_equivalent_rate_ci95_low,oracle_equivalent_rate_ci95_high,mean_transmitted_bits_mean,mean_transmitted_bits_std,mean_transmitted_bits_ci95_low,mean_transmitted_bits_ci95_high,mean_link_latency_s_mean,mean_link_latency_s_std,mean_link_latency_s_ci95_low,mean_link_latency_s_ci95_high,mean_payload_delivery_ratio_mean,mean_payload_delivery_ratio_std,mean_payload_delivery_ratio_ci95_low,mean_payload_delivery_ratio_ci95_high,latency_budget_exhaustion_rate_mean,latency_budget_exhaustion_rate_std,latency_budget_exhaustion_rate_ci95_low,latency_budget_exhaustion_rate_ci95_high
compressed_spectrogram_png,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.66,0.014281273819506168,0.0,0.014281273819506168,0.014281273819506168,0.017810821533203125,0.0,0.017810821533203125,0.017810821533203125,0.48,0.0,0.48,0.48,970144.0,0.0,970144.0,970144.0,0.2493679999999995,3.1031676915590914e-17,0.24936799999999948,0.24936799999999953,0.05923469327587716,0.002055809454994461,0.05743269683733663,0.06103668971441769,1.0,0.0,1.0,1.0
hard_semantic,3.0,5,0.5150168611864708,0.028290025722134213,0.49021956031130626,0.5398141620616355,0.36435643564356435,0.00828376263895125,0.35709539754645847,0.3716174737406702,0.4265639256192337,0.012905427732756687,0.4152518194530849,0.4378760317853824,0.4780644122363361,0.014382353004811383,0.4654577239902347,0.4906711004824375,0.844,0.008944271909999166,0.83616,0.8518399999999999,0.004155422793701291,0.0007268109489951271,0.0035183449077135502,0.0047925006796890315,0.007684971205890179,0.0007268112178103267,0.007047893084275527,0.00832204932750483,0.7639999999999999,0.04098780306383843,0.728072606551546,0.7999273934484538,4383.12,67.04348439632295,4324.353794885019,4441.886205114981,0.00286244,2.060522263893283e-05,0.002844378726023229,0.002880501273976771,0.605,0.014577379737113264,0.5922223632858028,0.6177776367141972,0.0,0.0,0.0,0.0
quantized_soft_semantic,3.0,5,0.5221969924920873,0.08057840174950451,0.4515669092306567,0.5928270757535179,0.2594059405940594,0.047172789107214244,0.2180571678463183,0.30075471334180054,0.34605678173929444,0.05756921474824292,0.29559514012465943,0.39651842335392945,0.47307789442105025,0.015813457530942,0.45921678774964125,0.48693900109245924,0.8119999999999999,0.038987177379235835,0.777826232282641,0.8461737677173589,0.00613724747672677,0.0017737907002683226,0.004582451375933256,0.007692043577520284,0.00966679621487856,0.0017737910362546603,0.008111999819580036,0.011221592610177083,0.684,0.04098780306383838,0.6480726065515463,0.7199273934484538,5258.736,128.30790341985946,5146.269163913865,5371.202836086135,0.003146164,3.1409585797969394e-05,0.003118632284156166,0.0031736957158438337,0.5264961505560308,0.053754940308806204,0.4793778678985126,0.573614433213549,0.0,0.0,0.0,0.0
spectrogram_uint8_fragment,3.0,5,0.008034314180497642,0.001752411490840377,0.006498257783013875,0.009570370577981407,0.10891089108910892,0.023219879999125892,0.0885577688869951,0.12926401329122275,0.014964548933923507,0.003258555255424709,0.012108299318572522,0.017820798549274493,0.44461419744751396,0.03945724599814647,0.41002839641885347,0.47919999847617445,0.66,0.0,0.66,0.66,0.012424638494849205,0.0,0.012424638494849205,0.012424638494849205,0.015954185277223587,0.0,0.015954185277223587,0.015954185277223587,0.48,0.0,0.48,0.48,970144.0,0.0,970144.0,970144.0,0.2493679999999995,3.1031676915590914e-17,0.24936799999999948,0.24936799999999953,0.0523359375,0.0022677118621737967,0.05034820041213633,0.05432367458786367,1.0,0.0,1.0,1.0
compressed_spectrogram_png,6.0,5,0.5468732618952453,0.005384185069405068,0.5421538155983427,0.5515927081921479,0.47326732673267324,0.020290991615761575,0.45548148839185454,0.49105316507349195,0.5072583339504529,0.012786550284242993,0.4960504284622046,0.5184662394387013,0.4822332925484766,0.004691282716570114,0.4781212019425557,0.48634538315439746,0.9119999999999999,0.022803508501982747,0.8920118435067163,0.9319881564932836,0.002070835349150002,0.001199827284738414,0.0010191403641358389,0.003122530334164165,0.005600383877754212,0.001199827380873766,0.004548688808473697,0.006652078947034726,0.8560000000000001,0.016733200530681523,0.8413327030438462,0.870667296956154,918678.0399999998,980.3637125067231,917818.7133176948,919537.3666823048,0.24450322399999952,0.00031915071373883906,0.24422347606513237,0.24478297193486667,0.9792863795661717,0.0005324952569997578,0.9788196268939714,0.979753132238372,0.14100000000000001,0.009617692030835668,0.13256972123829824,0.14943027876170178
hard_semantic,6.0,5,0.4651034882037922,0.005631434767476676,0.4601673179910263,0.47003965841655815,0.6712871287128713,0.004427857381187707,0.6674059405940594,0.6751683168316832,0.5494534790722474,0.0023845033084508443,0.5473633697680619,0.5515435883764329,0.480314974830902,0.0010475017292955865,0.47939679908218663,0.4812331505796174,0.9399999999999998,1.2412670766236366e-16,0.9399999999999997,0.94,3.076195571338758e-05,0.0,3.076195571338758e-05,3.076195571338758e-05,0.003560309996828437,0.0,0.003560309996828437,0.003560309996828437,0.96,0.0,0.96,0.96,2698.752,16.35617070099229,2684.4151842607084,2713.0888157392915,0.001510992,2.5612807733632053e-05,0.0014885413841586829,0.0015334426158413173,0.999,0.0022360679774997916,0.99704,1.00096,0.0,0.0,0.0,0.0
quantized_soft_semantic,6.0,5,0.4625850340136054,6.206335383118183e-17,0.46258503401360535,0.46258503401360546,0.6732673267326733,0.0,0.6732673267326733,0.6732673267326733,0.5483870967741936,0.0,0.5483870967741936,0.5483870967741936,0.4807834318455527,6.206335383118183e-17,0.48078343184555267,0.4807834318455528,0.9399999999999998,1.2412670766236366e-16,0.9399999999999997,0.94,3.076195571338758e-05,0.0,3.076195571338758e-05,3.076195571338758e-05,0.003560309996828437,0.0,0.003560309996828437,0.003560309996828437,0.96,0.0,0.96,0.96,3168.5919999999996,20.76686591664714,3150.389039443255,3186.794960556744,0.001674736,2.2303454440960485e-05,0.0016551861602168815,0.0016942858397831185,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
spectrogram_uint8_fragment,6.0,5,0.3898237039427401,0.01084858259572829,0.3803145020304608,0.39933290585501935,0.6198019801980198,0.0165675252779025,0.605279904003808,0.6343240563922316,0.4786046751135422,0.012756764584424022,0.4674228779423185,0.4897864722847659,0.47070423106617626,0.003907266412188843,0.4672793610510647,0.4741291010812878,0.9399999999999998,1.2412670766236366e-16,0.9399999999999997,0.94,2.561237542977324e-05,1.1514811569754312e-05,1.5519198073889134e-05,3.570555278565735e-05,0.0035551603883504867,1.1514874614205643e-05,0.0035450671557337044,0.003565253620967269,0.9640000000000001,0.008944271909999168,0.9561600000000001,0.97184,970144.0,0.0,970144.0,970144.0,0.2493679999999995,3.1031676915590914e-17,0.24936799999999948,0.24936799999999953,0.921546875,0.0007955718511312988,0.920849525525875,0.922244224474125,1.0,0.0,1.0,1.0
compressed_spectrogram_png,9.0,5,0.5392156862745098,0.0,0.5392156862745098,0.5392156862745098,0.5445544554455446,0.0,0.5445544554455446,0.5445544554455446,0.5418719211822661,0.0,0.5418719211822661,0.5418719211822661,0.48067853450775144,0.0,0.48067853450775144,0.48067853450775144,0.9399999999999998,1.2412670766236366e-16,0.9399999999999997,0.94,0.00042871071491390467,0.0,0.00042871071491390467,0.00042871071491390467,0.003958258777856827,0.0,0.003958258777856827,0.003958258777856827,0.9200000000000002,1.2412670766236366e-16,0.92,0.9200000000000003,893552.744,21.777448886410507,893533.6552244141,893571.8327755858,0.23938577599999955,1.8282091784047626e-05,0.23936975103999955,0.23940180095999955,0.9839457000261895,0.0,0.9839457000261895,0.9839457000261895,0.11500000000000002,1.5515838457795457e-17,0.115,0.11500000000000003
hard_semantic,9.0,5,0.4625850340136054,6.206335383118183e-17,0.46258503401360535,0.46258503401360546,0.6732673267326733,0.0,0.6732673267326733,0.6732673267326733,0.5483870967741936,0.0,0.5483870967741936,0.5483870967741936,0.4807834318455527,6.206335383118183e-17,0.48078343184555267,0.4807834318455528,0.9399999999999998,1.2412670766236366e-16,0.9399999999999997,0.94,3.076195571338758e-05,0.0,3.076195571338758e-05,3.076195571338758e-05,0.003560309996828437,0.0,0.003560309996828437,0.003560309996828437,0.96,0.0,0.96,0.96,2666.44,0.0,2666.44,2666.44,0.0014504000000000001,0.0,0.0014504000000000001,0.0014504000000000001,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
