scheme,seed,frames,precision,recall,f1,mean_iou,tp,fp,fn,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,ebn0_db
hard_semantic,20260711,200,0.5217391304347826,0.3564356435643564,0.4235294117647058,0.48872286991940606,36,33,65,0.84,0.0037742697168141603,0.007303817663341761,0.78,4307.24,0.00288064,0.625,0.0,3.0
hard_semantic,20261711,200,0.5522388059701493,0.36633663366336633,0.4404761904761905,0.46834947289647283,37,30,64,0.84,0.0030488697811961174,0.006578417960554361,0.72,4459.0,0.0028551600000000007,0.585,0.0,3.0
hard_semantic,20262711,200,0.5277777777777778,0.37623762376237624,0.4393063583815029,0.4955746225620571,38,34,63,0.86,0.0045937057584524155,0.008123254403471947,0.8,4422.04,0.00287812,0.605,0.0,3.0
hard_semantic,20263711,200,0.4868421052631579,0.36633663366336633,0.4180790960451978,0.4772799417779252,37,39,64,0.84,0.004696611315011978,0.00822615996003151,0.8,4409.44,0.0028680399999999997,0.6,0.0,3.0
hard_semantic,20264711,200,0.4864864864864865,0.3564356435643564,0.4114285714285714,0.46039515402581954,36,38,65,0.84,0.004663657397031784,0.008193206042051315,0.72,4317.88,0.0028302400000000004,0.61,0.0,3.0
quantized_soft_semantic,20270711,200,0.5813953488372093,0.24752475247524752,0.3472222222222222,0.4642634212970734,25,18,76,0.8,0.007727831602096558,0.011257380247116089,0.68,5330.92,0.00320152,0.5356201881950384,0.0,3.0
quantized_soft_semantic,20271711,200,0.45098039215686275,0.22772277227722773,0.3026315789473684,0.459405322437701,23,28,78,0.76,0.008298007771372795,0.011827557347714901,0.62,5356.12,0.00313992,0.455,0.0,3.0
quantized_soft_semantic,20272711,200,0.4489795918367347,0.21782178217821782,0.2933333333333333,0.4622081599452279,22,27,79,0.86,0.005339430179446936,0.00886897835880518,0.72,5321.4,0.00313432,0.5006201881950385,0.0,3.0
quantized_soft_semantic,20273711,200,0.6296296296296297,0.33663366336633666,0.4387096774193549,0.4952852576971054,34,20,67,0.84,0.004219849593937397,0.007749398238956928,0.72,5041.96,0.0031295599999999995,0.6006201881950385,0.0,3.0
quantized_soft_semantic,20274711,200,0.5,0.26732673267326734,0.34838709677419355,0.4842273107281438,27,27,74,0.8,0.005101118236780167,0.008630666881799698,0.68,5243.28,0.0031255,0.5406201881950384,0.0,3.0
compressed_spectrogram_png,20280711,200,0.0,0.0,0.0,0.0,0,0,101,0.66,0.014281273819506168,0.017810821533203125,0.48,970144.0,0.24936799999999948,0.05886655249748724,1.0,3.0
compressed_spectrogram_png,20281711,200,0.0,0.0,0.0,0.0,0,0,101,0.66,0.014281273819506168,0.017810821533203125,0.48,970144.0,0.24936799999999948,0.0591760628700033,1.0,3.0
compressed_spectrogram_png,20282711,200,0.0,0.0,0.0,0.0,0,0,101,0.66,0.014281273819506168,0.017810821533203125,0.48,970144.0,0.24936799999999948,0.061365125609928156,1.0,3.0
compressed_spectrogram_png,20283711,200,0.0,0.0,0.0,0.0,0,0,101,0.66,0.014281273819506168,0.017810821533203125,0.48,970144.0,0.24936799999999948,0.056061605248959444,1.0,3.0
compressed_spectrogram_png,20284711,200,0.0,0.0,0.0,0.0,0,0,101,0.66,0.014281273819506168,0.017810821533203125,0.48,970144.0,0.24936799999999948,0.060704120153007655,1.0,3.0
spectrogram_uint8_fragment,20290711,200,0.005751258087706686,0.07920792079207921,0.010723860589812333,0.4460720382630825,8,1383,93,0.66,0.012424638494849205,0.015954185277223587,0.48,970144.0,0.24936799999999948,0.0509375,1.0,3.0
spectrogram_uint8_fragment,20291711,200,0.009665427509293681,0.12871287128712872,0.017980636237897654,0.42124628791442287,13,1332,88,0.66,0.012424638494849205,0.015954185277223587,0.48,970144.0,0.24936799999999948,0.054453125,1.0,3.0
spectrogram_uint8_fragment,20292711,200,0.008765522279035792,0.1188118811881188,0.0163265306122449,0.5068407108386358,12,1357,89,0.66,0.012424638494849205,0.015954185277223587,0.48,970144.0,0.24936799999999948,0.054921875,1.0,3.0
spectrogram_uint8_fragment,20293711,200,0.009386281588447653,0.12871287128712872,0.01749663526244953,0.40215725623644316,13,1372,88,0.66,0.012424638494849205,0.015954185277223587,0.48,970144.0,0.24936799999999948,0.0516796875,1.0,3.0
spectrogram_uint8_fragment,20294711,200,0.006603081438004402,0.0891089108910891,0.012295081967213115,0.44675469398498535,9,1354,92,0.66,0.012424638494849205,0.015954185277223587,0.48,970144.0,0.24936799999999948,0.0496875,1.0,3.0
hard_semantic,20360711,200,0.475177304964539,0.6633663366336634,0.5537190082644629,0.47844114677229926,67,74,34,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2721.04,0.0015407,0.995,0.0,6.0
hard_semantic,20361711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2705.92,0.0015293600000000002,1.0,0.0,6.0
hard_semantic,20362711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2677.92,0.00147462,1.0,0.0,6.0
hard_semantic,20363711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2689.4,0.00150262,1.0,0.0,6.0
hard_semantic,20364711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2699.48,0.00150766,1.0,0.0,6.0
quantized_soft_semantic,20370711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3179.96,0.0016921800000000002,1.0,0.0,6.0
quantized_soft_semantic,20371711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3134.6,0.0016359,1.0,0.0,6.0
quantized_soft_semantic,20372711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3185.56,0.0016851799999999997,1.0,0.0,6.0
quantized_soft_semantic,20373711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3163.16,0.00167818,1.0,0.0,6.0
quantized_soft_semantic,20374711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3179.68,0.0016822400000000002,1.0,0.0,6.0
compressed_spectrogram_png,20380711,200,0.5476190476190477,0.45544554455445546,0.4972972972972974,0.4888087193603101,46,38,55,0.9,0.0035906964913010597,0.007120245136320591,0.84,919412.48,0.24494441999999958,0.9786474174591413,0.155,6.0
compressed_spectrogram_png,20381711,200,0.5454545454545454,0.4752475247524752,0.5079365079365079,0.4773197801162799,48,40,53,0.92,0.0011151415528729558,0.004644690081477165,0.86,919557.24,0.24418841999999952,0.9789269395264205,0.14,6.0
compressed_spectrogram_png,20382711,200,0.5543478260869565,0.504950495049505,0.5284974093264249,0.47860434534502966,51,41,50,0.94,0.0008083248976618052,0.004337873309850693,0.88,917294.0,0.24437503999999952,0.979895713951315,0.135,6.0
compressed_spectrogram_png,20383711,200,0.5476190476190477,0.45544554455445546,0.4972972972972974,0.4848826158305873,46,38,55,0.88,0.0030104471370577812,0.0065399957820773125,0.86,918020.04,0.24428361999999954,0.9797545553882396,0.13,6.0
compressed_spectrogram_png,20384711,200,0.5393258426966292,0.4752475247524752,0.5052631578947369,0.48155100209017593,48,41,53,0.92,0.0018295666668564081,0.005359115079045296,0.84,919106.44,0.2447246199999995,0.9792072715057423,0.145,6.0
