method,repeat,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits
or,0,0.84,0.005576890893280506,0.009106438606977463,0.66,3238.2
majority,0,0.7,0.012431650422513485,0.01596119813621044,0.5,3238.2
mean,0,0.84,0.0055020772852003574,0.009031626395881176,0.68,3238.2
snr_weighted,0,0.86,0.004793968982994556,0.008323517628014088,0.7,3238.2
quality_weighted,0,0.86,0.004793968982994556,0.008323517628014088,0.7,3238.2
or,1,0.82,0.006068524904549122,0.009598072618246078,0.66,3318.28
majority,1,0.66,0.014206460677087307,0.017736008390784264,0.5,3318.28
mean,1,0.82,0.006068524904549122,0.009598072618246078,0.66,3318.28
snr_weighted,1,0.82,0.006068524904549122,0.009598072618246078,0.66,3318.28
quality_weighted,1,0.82,0.006068524904549122,0.009598072618246078,0.66,3318.28
or,2,0.82,0.006838454399257898,0.010368002578616142,0.74,3312.96
majority,2,0.68,0.013323260471224785,0.016852809116244316,0.52,3312.96
mean,2,0.82,0.006838454399257898,0.010368002578616142,0.74,3312.96
snr_weighted,2,0.82,0.006838454399257898,0.010368002578616142,0.74,3312.96
quality_weighted,2,0.82,0.006838454399257898,0.010368002578616142,0.74,3312.96
or,3,0.86,0.004130326211452484,0.0076598734594881535,0.74,3343.76
majority,3,0.66,0.014281273819506168,0.017810821533203125,0.48,3343.76
mean,3,0.86,0.004130326211452484,0.0076598734594881535,0.74,3343.76
snr_weighted,3,0.86,0.004130326211452484,0.0076598734594881535,0.74,3343.76
quality_weighted,3,0.86,0.004130326211452484,0.0076598734594881535,0.74,3343.76
or,4,0.8,0.008593462407588959,0.01212301105260849,0.66,3281.32
majority,4,0.66,0.014281273819506168,0.017810821533203125,0.48,3281.32
mean,4,0.8,0.008593462407588959,0.01212301105260849,0.66,3281.32
snr_weighted,4,0.8,0.008593462407588959,0.01212301105260849,0.66,3281.32
quality_weighted,4,0.8,0.008334923535585403,0.011864472180604935,0.68,3281.32
