method,repeat,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits
or,0,1.0,7.94579173089005e-05,7.94579173089005e-05,0.98,3167.64
majority,0,0.98,0.0014617303386330605,0.0014617303386330605,0.84,3167.64
mean,0,1.0,7.94579173089005e-05,7.94579173089005e-05,0.98,3167.64
snr_weighted,0,1.0,7.94579173089005e-05,7.94579173089005e-05,0.98,3167.64
quality_weighted,0,1.0,7.94579173089005e-05,7.94579173089005e-05,0.98,3167.64
or,1,1.0,0.00025863025803118944,0.00025863025803118944,0.96,3235.12
majority,1,0.94,0.00251936842687428,0.00251936842687428,0.8,3235.12
mean,1,1.0,0.00025863025803118944,0.00025863025803118944,0.96,3235.12
snr_weighted,1,1.0,0.00025863025803118944,0.00025863025803118944,0.96,3235.12
quality_weighted,1,1.0,0.00025863025803118944,0.00025863025803118944,0.96,3235.12
or,2,1.0,0.0001791723188944161,0.0001791723188944161,0.98,3200.96
majority,2,0.94,0.002400659956037998,0.002400659956037998,0.82,3200.96
mean,2,1.0,0.0001791723188944161,0.0001791723188944161,0.98,3200.96
snr_weighted,2,1.0,0.0001791723188944161,0.0001791723188944161,0.98,3200.96
quality_weighted,2,1.0,0.0001791723188944161,0.0001791723188944161,0.98,3200.96
or,3,1.0,0.0,0.0,1.0,3276.84
majority,3,0.94,0.002400659956037998,0.002400659956037998,0.82,3276.84
mean,3,1.0,0.0,0.0,1.0,3276.84
snr_weighted,3,1.0,0.0,0.0,1.0,3276.84
quality_weighted,3,1.0,0.0,0.0,1.0,3276.84
or,4,1.0,0.0,0.0,1.0,3220.84
majority,4,0.94,0.00251936842687428,0.00251936842687428,0.8,3220.84
mean,4,1.0,0.0,0.0,1.0,3220.84
snr_weighted,4,1.0,0.0,0.0,1.0,3220.84
quality_weighted,4,1.0,0.0,0.0,1.0,3220.84
