policy,repeat,clean_resource_rate,mean_occupancy_regret,oracle_equivalent_rate,mean_transmitted_bits,mean_scheduler_feedback_bits,mean_decision_link_latency_s,mean_reference_rf_energy_j,mean_attempted_nodes,mean_delivered_reports,mean_fallback_rounds
full_mean,0,0.7142857142857143,0.0024747673887759447,0.35714285714285715,3763.0,0.0,0.0026685000000000003,0.0018814999999999995,4.0,3.0714285714285716,0.0
full_robust,0,0.7142857142857143,0.0024747673887759447,0.35714285714285715,3763.0,0.0,0.0026685000000000003,0.0018814999999999995,4.0,3.0714285714285716,0.0
fixed_two_mean,0,0.7142857142857143,0.0024747673887759447,0.35714285714285715,1959.0,0.0,0.0018925,0.0009795,2.0,2.0,0.0
adaptive_ack_robust,0,0.7142857142857143,0.0024747673887759447,0.35714285714285715,2738.0,98.28571428571429,0.005121285714285713,0.0013690000000000002,3.0714285714285716,2.9285714285714284,1.0714285714285714
full_mean,1,0.7142857142857143,0.0024906445760279894,0.21428571428571427,3967.0,0.0,0.002764,0.0019834999999999996,4.0,3.2142857142857144,0.0
full_robust,1,0.7142857142857143,0.0024906445760279894,0.21428571428571427,3967.0,0.0,0.002764,0.0019834999999999996,4.0,3.2142857142857144,0.0
fixed_two_mean,1,0.7142857142857143,0.0024906445760279894,0.21428571428571427,2040.0,0.0,0.001933,0.0010199999999999999,2.0,2.0,0.0
adaptive_ack_robust,1,0.7142857142857143,0.0024906445760279894,0.21428571428571427,2819.0,96.0,0.0050675,0.0014094999999999997,3.0,3.0,1.0
full_mean,2,0.7142857142857143,0.0024906445760279894,0.21428571428571427,3762.0,0.0,0.0026279999999999997,0.0018809999999999996,4.0,3.142857142857143,0.0
full_robust,2,0.7142857142857143,0.0024906445760279894,0.21428571428571427,3762.0,0.0,0.0026279999999999997,0.0018809999999999996,4.0,3.142857142857143,0.0
fixed_two_mean,2,0.7142857142857143,0.0024906445760279894,0.21428571428571427,1999.0,0.0,0.0018375,0.0009994999999999997,2.0,2.0,0.0
adaptive_ack_robust,2,0.7142857142857143,0.0024906445760279894,0.21428571428571427,2737.0,98.28571428571429,0.004970785714285714,0.0013684999999999997,3.0714285714285716,3.0,1.0714285714285714
full_mean,3,0.7142857142857143,0.002347253728657961,0.2857142857142857,3590.0,0.0,0.0025594999999999997,0.0017949999999999997,4.0,3.5714285714285716,0.0
full_robust,3,0.7142857142857143,0.002347253728657961,0.2857142857142857,3590.0,0.0,0.0025594999999999997,0.0017949999999999997,4.0,3.5714285714285716,0.0
fixed_two_mean,3,0.7142857142857143,0.002347253728657961,0.2857142857142857,1909.0,0.0,0.0017925,0.0009545000000000002,2.0,2.0,0.0
adaptive_ack_robust,3,0.7142857142857143,0.002347253728657961,0.2857142857142857,2647.0,96.0,0.0048315,0.0013234999999999998,3.0,3.0,1.0
full_mean,4,0.7142857142857143,0.0024906445760279894,0.21428571428571427,3763.0,0.0,0.0026730000000000005,0.0018814999999999995,4.0,3.142857142857143,0.0
full_robust,4,0.7142857142857143,0.0024906445760279894,0.21428571428571427,3763.0,0.0,0.0026730000000000005,0.0018814999999999995,4.0,3.142857142857143,0.0
fixed_two_mean,4,0.7142857142857143,0.0024906445760279894,0.21428571428571427,1959.0,0.0,0.0018924999999999999,0.0009795,2.0,2.0,0.0
adaptive_ack_robust,4,0.7142857142857143,0.0024906445760279894,0.21428571428571427,2779.0,98.28571428571429,0.005216785714285714,0.0013895,3.0714285714285716,2.9285714285714284,1.0714285714285714
