policy,repeat,precision,recall,f1,brier,clean_resource_rate,mean_occupancy_regret,oracle_equivalent_rate,mean_transmitted_bits,mean_scheduler_feedback_bits,mean_decision_link_latency_s,mean_reference_rf_energy_j,mean_attempted_nodes,mean_delivered_reports,mean_fallback_rounds
best_single,0,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,0,0.5,0.5,0.5,0.19673877954483032,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
full_snr_weighted,0,0.6666666666666666,1.0,0.8,0.12216310203075409,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
full_robust_quality,0,0.6666666666666666,0.5,0.5714285714285715,0.14289985597133636,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
proposed_adaptive_value_bit,0,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,1,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,1,1.0,0.5,0.6666666666666666,0.161287322640419,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_snr_weighted,1,1.0,1.0,1.0,0.08391426503658295,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_robust_quality,1,0.6666666666666666,0.5,0.5714285714285715,0.13287270069122314,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
proposed_adaptive_value_bit,1,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,2,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,2,1.0,0.5,0.6666666666666666,0.14898735284805298,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.0,0.0
full_snr_weighted,2,1.0,1.0,1.0,0.0831339880824089,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.0,0.0
full_robust_quality,2,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.0,0.0
proposed_adaptive_value_bit,2,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,3,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,3,0.5,0.5,0.5,0.19673877954483032,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,4.0,0.0
full_snr_weighted,3,0.6666666666666666,1.0,0.8,0.12216310203075409,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,4.0,0.0
full_robust_quality,3,0.6666666666666666,0.5,0.5714285714285715,0.14289985597133636,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,4.0,0.0
proposed_adaptive_value_bit,3,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,4,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,4,0.5,0.5,0.5,0.1844388097524643,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_snr_weighted,4,0.6666666666666666,1.0,0.8,0.12138282507658005,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_robust_quality,4,0.75,0.75,0.75,0.1333191990852356,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
proposed_adaptive_value_bit,4,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,5,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,5,0.5,0.5,0.5,0.1844388097524643,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_snr_weighted,5,0.6666666666666666,1.0,0.8,0.12138282507658005,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_robust_quality,5,0.75,0.75,0.75,0.1333191990852356,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
proposed_adaptive_value_bit,5,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,6,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,6,0.5,0.5,0.5,0.19673877954483032,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
full_snr_weighted,6,0.6666666666666666,1.0,0.8,0.12216310203075409,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
full_robust_quality,6,0.6666666666666666,0.5,0.5714285714285715,0.14289985597133636,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
proposed_adaptive_value_bit,6,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,7,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,7,0.5,0.5,0.5,0.1844388097524643,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_snr_weighted,7,0.6666666666666666,1.0,0.8,0.12138282507658005,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_robust_quality,7,0.75,0.75,0.75,0.1333191990852356,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
proposed_adaptive_value_bit,7,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,8,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,8,1.0,0.5,0.6666666666666666,0.161287322640419,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.5,0.0
full_snr_weighted,8,1.0,1.0,1.0,0.08391426503658295,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.5,0.0
full_robust_quality,8,0.6666666666666666,0.5,0.5714285714285715,0.13287270069122314,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.5,0.0
proposed_adaptive_value_bit,8,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,9,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,9,0.5,0.5,0.5,0.19673877954483032,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
full_snr_weighted,9,0.6666666666666666,1.0,0.8,0.12216310203075409,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
full_robust_quality,9,0.6666666666666666,0.5,0.5714285714285715,0.14289985597133636,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
proposed_adaptive_value_bit,9,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,10,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,10,0.5,0.5,0.5,0.19673877954483032,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
full_snr_weighted,10,0.6666666666666666,1.0,0.8,0.12216310203075409,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
full_robust_quality,10,0.6666666666666666,0.5,0.5714285714285715,0.14289985597133636,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
proposed_adaptive_value_bit,10,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,11,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,11,0.5,0.5,0.5,0.19673877954483032,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
full_snr_weighted,11,0.6666666666666666,1.0,0.8,0.12216310203075409,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
full_robust_quality,11,0.6666666666666666,0.5,0.5714285714285715,0.14289985597133636,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
proposed_adaptive_value_bit,11,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,12,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,12,0.5,0.5,0.5,0.1844388097524643,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_snr_weighted,12,0.6666666666666666,1.0,0.8,0.12138282507658005,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_robust_quality,12,0.75,0.75,0.75,0.1333191990852356,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
proposed_adaptive_value_bit,12,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,13,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,13,1.0,0.5,0.6666666666666666,0.161287322640419,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.5,0.0
full_snr_weighted,13,1.0,1.0,1.0,0.08391426503658295,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.5,0.0
full_robust_quality,13,0.6666666666666666,0.5,0.5714285714285715,0.13287270069122314,1.0,0.002999756019562483,0.0,3150.0,0.0,0.00273,0.0015749999999999998,4.0,3.5,0.0
