scenario,method,repeat,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits
baseline_4_nodes,majority,0,0.6,0.021500365808606148,0.023507656529545784,0.1,3226.3
baseline_4_nodes,mean,0,0.7,0.016871165484189987,0.018878456205129623,0.4,3226.3
baseline_4_nodes,or,0,0.75,0.01511545293033123,0.017122743651270866,0.45,3226.3
baseline_4_nodes,snr_weighted,0,0.7,0.016871165484189987,0.018878456205129623,0.4,3226.3
baseline_4_nodes,quality_weighted,0,0.7,0.016871165484189987,0.018878456205129623,0.4,3226.3
best_single_node,majority,0,0.65,0.02031642384827137,0.022323714569211006,0.15,813.4
best_single_node,mean,0,0.75,0.01511545293033123,0.017122743651270866,0.45,813.4
best_single_node,or,0,0.75,0.01511545293033123,0.017122743651270866,0.45,813.4
best_single_node,snr_weighted,0,0.75,0.01511545293033123,0.017122743651270866,0.45,813.4
best_single_node,quality_weighted,0,0.75,0.01511545293033123,0.017122743651270866,0.45,813.4
heterogeneous_2_nodes,majority,0,0.65,0.02031642384827137,0.022323714569211006,0.15,1479.8
heterogeneous_2_nodes,mean,0,0.75,0.01511545293033123,0.017122743651270866,0.45,1479.8
heterogeneous_2_nodes,or,0,0.75,0.01511545293033123,0.017122743651270866,0.45,1479.8
heterogeneous_2_nodes,snr_weighted,0,0.75,0.01511545293033123,0.017122743651270866,0.45,1479.8
heterogeneous_2_nodes,quality_weighted,0,0.75,0.01511545293033123,0.017122743651270866,0.45,1479.8
high_snr_stale,majority,0,0.6,0.021500365808606148,0.023507656529545784,0.1,3182.2
high_snr_stale,mean,0,0.7,0.01777341589331627,0.019780706614255905,0.25,3182.2
high_snr_stale,or,0,0.65,0.018957357853651047,0.020964648574590683,0.2,3182.2
high_snr_stale,snr_weighted,0,0.7,0.01777341589331627,0.019780706614255905,0.25,3182.2
high_snr_stale,quality_weighted,0,0.7,0.017573416233062744,0.01958070695400238,0.3,3182.2
best_node_failure,majority,0,0.6,0.021500365808606148,0.023507656529545784,0.1,2412.9
best_node_failure,mean,0,0.7,0.018781227990984917,0.020788518711924553,0.3,2412.9
best_node_failure,or,0,0.7,0.018781227990984917,0.020788518711924553,0.3,2412.9
best_node_failure,snr_weighted,0,0.7,0.018781227990984917,0.020788518711924553,0.3,2412.9
best_node_failure,quality_weighted,0,0.7,0.018781227990984917,0.020788518711924553,0.3,2412.9
high_confidence_wrong,majority,0,0.6,0.021575722843408585,0.02358301356434822,0.05,3226.3
high_confidence_wrong,mean,0,0.7,0.01834711618721485,0.020354406908154488,0.2,3226.3
high_confidence_wrong,or,0,0.7,0.01834711618721485,0.020354406908154488,0.2,3226.3
high_confidence_wrong,snr_weighted,0,0.7,0.01834711618721485,0.020354406908154488,0.2,3226.3
high_confidence_wrong,quality_weighted,0,0.7,0.01834711618721485,0.020354406908154488,0.2,3226.3
combined_stale_failure_anomaly,majority,0,0.6,0.020993845537304878,0.023001136258244514,0.1,2526.3
combined_stale_failure_anomaly,mean,0,0.7,0.018584759905934334,0.02059205062687397,0.15,2526.3
combined_stale_failure_anomaly,or,0,0.7,0.018584759905934334,0.02059205062687397,0.15,2526.3
combined_stale_failure_anomaly,snr_weighted,0,0.7,0.018584759905934334,0.02059205062687397,0.15,2526.3
combined_stale_failure_anomaly,quality_weighted,0,0.7,0.018584759905934334,0.02059205062687397,0.15,2526.3
