task_id,method,clusters,bootstrap_repetitions,mean_regret_difference,mean_regret_one_sided_95_upper,mean_regret_one_sided_p,cvar_difference,cvar_one_sided_95_upper,actual_bit_difference,actual_bit_one_sided_95_upper,actual_bit_reduction_pct,mean_regret_noninferior,reaches_20pct_strong_target
N8_D2,best_block_onehot,72,10000,-0.009417486190795903,-0.006936377488850248,9.999000099990002e-05,-0.041315230616816745,-0.026496599840606597,-63.95666666666665,-63.45736714407386,8.485265411768742,True,False
N8_D2,best_block_binary_index,72,10000,-0.009417486190795903,-0.006914959578924865,9.999000099990002e-05,-0.041315230616816745,-0.026277122850771065,-63.95666666666665,-63.452902621722835,8.485265411768742,True,False
N8_D4,best_block_onehot,72,10000,-0.0055728117624918635,-0.0042275923760475885,9.999000099990002e-05,-0.01921887221159757,-0.011715897454155653,-63.95666666666665,-63.463207999108725,8.485265411768742,True,False
N8_D4,best_block_binary_index,72,10000,-0.0055728117624918635,-0.00421914320699955,9.999000099990002e-05,-0.01921887221159757,-0.011701677956311489,-63.95666666666665,-63.46021739354094,8.485265411768742,True,False
N8_D6,best_block_onehot,72,10000,-0.0011316606733534074,-0.0008122608211649457,9.999000099990002e-05,-0.003989149022985361,-0.0017307670028121613,-63.95666666666665,-63.44934935897432,8.485265411768742,True,False
N8_D6,best_block_binary_index,72,10000,-0.0011316606733534074,-0.0008119353317204551,9.999000099990002e-05,-0.003989149022985361,-0.0017004894327234718,-63.95666666666665,-63.460699053030275,8.485265411768742,True,False
N16_D4,best_block_onehot,72,10000,-0.018430682641488522,-0.015280808746839522,9.999000099990002e-05,-0.05539475193730081,-0.04000546437722652,-128.8557407407407,-128.13623973634648,15.341792157401411,True,False
N16_D4,best_block_binary_index,72,10000,-0.022347652647230352,-0.018617479158574354,9.999000099990002e-05,-0.07322042606495027,-0.05669791504188818,-150.1188888888889,-149.302361878453,17.87342014406032,True,False
N16_D8,best_block_onehot,72,10000,-0.00936589700204355,-0.00751163620328965,9.999000099990002e-05,-0.0300223103276005,-0.020670709108051515,-128.8557407407407,-128.11787300665492,15.341792157401411,True,False
N16_D8,best_block_binary_index,72,10000,-0.011443538665771488,-0.009318378215192536,9.999000099990002e-05,-0.038685699745460767,-0.028253967292592358,-150.1188888888889,-149.29442259675403,17.87342014406032,True,False
N16_D12,best_block_onehot,72,10000,-0.0031482113732231977,-0.00247816933583517,9.999000099990002e-05,-0.008942872506600918,-0.006280390774762132,-150.1188888888889,-149.28625363951562,17.87342014406032,True,False
N16_D12,best_block_binary_index,72,10000,-0.0031482113732231977,-0.0024645911162454424,9.999000099990002e-05,-0.008942872506600918,-0.006265241834852442,-150.1188888888889,-149.29008287292817,17.87342014406032,True,False
N32_D8,best_block_onehot,72,10000,-0.03283628852279098,-0.02627784365267754,9.999000099990002e-05,-0.11499580453943348,-0.07774738135161231,-259.0330555555556,-257.8773277979067,25.576665486979394,True,True
N32_D8,best_block_binary_index,72,10000,-0.04166945316173412,-0.03354195505014625,9.999000099990002e-05,-0.1566661234255191,-0.115812754714698,-322.9897222222223,-321.6773636112835,31.89168294869768,True,True
N32_D16,best_block_onehot,72,10000,-0.019639790852864582,-0.016309782481141597,9.999000099990002e-05,-0.06456962868019389,-0.04988294936062999,-280.4076851851852,-279.18527632112875,27.68717509268438,True,True
N32_D16,best_block_binary_index,72,10000,-0.023181198261402268,-0.0191898126541767,9.999000099990002e-05,-0.07922206454806868,-0.06069003211127386,-322.9897222222223,-321.66328008715243,31.89168294869768,True,True
N32_D24,best_block_onehot,72,10000,-0.005119397551925096,-0.003998612975146154,9.999000099990002e-05,-0.021685384821008735,-0.014687676959567623,-301.72657407407405,-300.47192683463186,29.792180913257145,True,True
N32_D24,best_block_binary_index,72,10000,-0.005731998726173685,-0.004533522046688119,9.999000099990002e-05,-0.023874152148211425,-0.01688259866502555,-322.9897222222223,-321.6525670966897,31.89168294869768,True,True
N64_D16,best_block_onehot,72,10000,-0.05991207370051631,-0.049437223437789446,9.999000099990002e-05,-0.21304972613299333,-0.16709944619072836,-544.8203703703704,-543.0075525525525,39.97774205515024,True,True
N64_D16,best_block_binary_index,72,10000,-0.07671315228497541,-0.063324511488757,9.999000099990002e-05,-0.2718441362734194,-0.22205762202279594,-673.0279629629629,-670.8866313405797,49.38533829222588,True,True
N64_D32,best_block_onehot,72,10000,-0.03562572302641693,-0.029970234500696722,9.999000099990002e-05,-0.11039672074494544,-0.08832779107270428,-587.5177777777777,-585.6083173952642,43.11078559130989,True,True
N64_D32,best_block_binary_index,72,10000,-0.042245416994448066,-0.03536696862165531,9.999000099990002e-05,-0.135690939867938,-0.11034774356418203,-673.0279629629629,-670.8529839942111,49.38533829222588,True,True
N64_D48,best_block_onehot,72,10000,-0.00958327858536332,-0.007730673009013528,9.999000099990002e-05,-0.039429032361065874,-0.03078408610286304,-630.4459259259258,-628.3777997547954,46.260760384662944,True,True
N64_D48,best_block_binary_index,72,10000,-0.010487176753856521,-0.008455228364331222,9.999000099990002e-05,-0.04289561024418592,-0.03363002693443972,-673.0279629629629,-670.8850978961356,49.38533829222588,True,True
