channel,EbN0_dB,regret_diff,regret_CI_low,regret_CI_high,actual_bit_diff,bit_CI_low,bit_CI_high
awgn,0,-7.412359135438845e-05,-0.0008296867779177167,0.0005765516577689896,-440.7013333333332,-450.5577999999999,-430.696
awgn,3,0.0010215195071844698,-0.002864942429196526,0.005127469282101327,-666.2506666666667,-703.0809333333334,-628.9920000000001
awgn,6,-0.0009712383051689054,-0.005817910785515657,0.0037822742402816066,-377.98133333333334,-401.61333333333334,-353.8822
awgn,9,-0.0008897625207100646,-0.005711142500821855,0.004037220181309444,-212.10933333333335,-215.76799999999997,-208.93599999999998
rayleigh,0,0.00014525374691826677,-0.0021204966086936115,0.0025183687329311654,-469.37333333333333,-501.6862666666666,-436.1275333333334
rayleigh,3,0.00037567316605994464,-0.0029580065462528255,0.0038178726965343605,-482.4773333333334,-523.6196,-442.02666666666664
rayleigh,6,0.0010127924862730045,-0.0030544515771437244,0.005134957967458104,-416.1546666666667,-462.87826666666666,-368.9088666666667
rayleigh,9,-0.001290952085670142,-0.005952047171449037,0.003119540536789888,-325.95733333333334,-369.3391333333334,-283.15186666666665
rician,0,-0.001724100260534518,-0.00427686570183881,0.0008849472977868568,-492.9493333333333,-520.1840000000001,-465.7888666666667
rician,3,-0.0006418394260899729,-0.004443509349784813,0.0030951611855971565,-514.0053333333333,-559.7965333333333,-469.18666666666667
rician,6,-0.00014981295265897624,-0.004896504724265711,0.0045436291767461294,-414.79200000000003,-455.9146666666666,-372.6604
rician,9,-0.000969767148371223,-0.005876727981524043,0.0038945767985471918,-289.128,-318.7333333333333,-260.2128666666666
