split_role,source_split,sources_per_scene,n_channels,demand_channels,scene_count,oracle_clean_rate,mean_random_oracle_gap,mean_oracle_margin,ambiguous_oracle_rate
train,train,1,4,1,300,1.0,0.004487885162234306,0.0,1.0
train,train,1,4,2,300,1.0,0.004352634772658348,0.004226075951009989,0.7433333396911621
train,train,1,4,4,300,0.9333333373069763,0.0,0.0,1.0
train,train,1,8,1,300,1.0,0.004487885162234306,0.0,1.0
train,train,1,8,2,300,1.0,0.004394047427922487,0.0,1.0
train,train,1,8,4,300,1.0,0.004283260554075241,0.0019560689106583595,0.8366666436195374
train,train,1,16,1,300,1.0,0.004487885162234306,0.0,1.0
train,train,1,16,2,300,1.0,0.004450883250683546,0.0,1.0
train,train,1,16,4,300,1.0,0.004393421579152346,0.0,1.0
train,train,2,4,1,300,1.0,0.010418839752674103,0.0005214180564507842,0.9399999976158142
train,train,2,4,2,300,0.9800000190734863,0.008951016701757908,0.008585683070123196,0.550000011920929
train,train,2,4,4,300,0.8199999928474426,0.0,0.0,1.0
train,train,2,8,1,300,1.0,0.010418839752674103,0.0,1.0
train,train,2,8,2,300,1.0,0.010419347323477268,3.213332820450887e-05,0.9933333396911621
train,train,2,8,4,300,0.9833333492279053,0.009333180263638496,0.004476363305002451,0.699999988079071
train,train,2,16,1,300,1.0,0.010418839752674103,0.0,1.0
train,train,2,16,2,300,1.0,0.010381012223660946,0.0,1.0
train,train,2,16,4,300,1.0,0.010409043170511723,0.0,1.0
train,train,4,4,1,300,0.996666669845581,0.01934956945478916,0.0024174232967197895,0.7066666483879089
train,train,4,4,2,300,0.9300000071525574,0.015548741444945335,0.015567992813885212,0.27000001072883606
train,train,4,4,4,300,0.653333306312561,0.0,0.0,1.0
train,train,4,8,1,300,1.0,0.019631829112768173,0.0,1.0
train,train,4,8,2,300,0.996666669845581,0.01979837566614151,0.0005261140177026391,0.9233333468437195
train,train,4,8,4,300,0.9366666674613953,0.016121044754981995,0.0071305944584310055,0.476666659116745
train,train,4,16,1,300,1.0,0.019631829112768173,0.0,1.0
train,train,4,16,2,300,1.0,0.019609082490205765,0.0,1.0
train,train,4,16,4,300,0.996666669845581,0.019960083067417145,0.00020016160851810127,0.9733333587646484
validation,val,1,4,1,150,1.0,0.005784151144325733,0.0,1.0
validation,val,1,4,2,150,0.9933333396911621,0.005358029156923294,0.004763664212077856,0.6800000071525574
validation,val,1,4,4,150,0.9200000166893005,0.0,0.0,1.0
validation,val,1,8,1,150,1.0,0.005784151144325733,0.0,1.0
validation,val,1,8,2,150,1.0,0.0057752556167542934,0.0,1.0
validation,val,1,8,4,150,0.9933333396911621,0.00546084251254797,0.002720765769481659,0.800000011920929
validation,val,1,16,1,150,1.0,0.005784151144325733,0.0,1.0
validation,val,1,16,2,150,1.0,0.005771787837147713,0.0,1.0
validation,val,1,16,4,150,1.0,0.005727128125727177,0.0,1.0
validation,val,2,4,1,150,1.0,0.010243418626487255,0.0006585989613085985,0.9266666769981384
validation,val,2,4,2,150,0.9866666793823242,0.008820229209959507,0.00803622230887413,0.46000000834465027
validation,val,2,4,4,150,0.8266666531562805,0.0,0.0,1.0
validation,val,2,8,1,150,1.0,0.01024341769516468,0.0,1.0
validation,val,2,8,2,150,1.0,0.01035615149885416,9.119998867390677e-05,0.9933333396911621
validation,val,2,8,4,150,0.9866666793823242,0.00891117099672556,0.0034974655136466026,0.7066666483879089
validation,val,2,16,1,150,1.0,0.01024341769516468,0.0,1.0
validation,val,2,16,2,150,1.0,0.010213613510131836,0.0,1.0
validation,val,2,16,4,150,1.0,0.010280376300215721,0.0,1.0
validation,val,4,4,1,150,1.0,0.019908294081687927,0.0034575604368001223,0.6933333277702332
validation,val,4,4,2,150,0.9266666769981384,0.015163974836468697,0.014287075959146023,0.23333333432674408
validation,val,4,4,4,150,0.6399999856948853,0.0,0.0,1.0
validation,val,4,8,1,150,1.0,0.01993456296622753,0.0,1.0
validation,val,4,8,2,150,1.0,0.02010645717382431,0.0008094761287793517,0.8999999761581421
validation,val,4,8,4,150,0.95333331823349,0.01610071398317814,0.00757775129750371,0.5199999809265137
validation,val,4,16,1,150,1.0,0.01993456296622753,0.0,1.0
validation,val,4,16,2,150,1.0,0.01985577493906021,0.0,1.0
validation,val,4,16,4,150,1.0,0.020017307251691818,0.00013809482334181666,0.9733333587646484
